Feature,Mean P Value,P Values
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""",4.805765245898828e-05,"[8.464939303512365e-07, 1.1960542108279927e-05, 4.944048389699433e-05, 2.8385009737282348e-05, 2.4913504246894484e-05, 2.1961002367289765e-06, 3.0281576164836907e-05, 0.0003062865079744656, 2.598361429867667e-05, 2.826919953722757e-07]"
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min""",6.22352213581145e-05,"[1.0606739355799925e-06, 1.752696469020505e-05, 6.387388876591281e-05, 3.918682758736667e-05, 3.446602504786279e-05, 2.7846916138836224e-06, 4.5962665150794305e-05, 0.0003740699401396637, 4.298010871816262e-05, 4.404279317134832e-07]"
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max""",1.2554183653025796e-05,"[4.2540875403319043e-07, 2.8570528009727094e-06, 1.3040425999034454e-05, 1.0455382626980192e-05, 4.878255188678897e-06, 9.018458640093404e-07, 4.8387840255370055e-06, 8.132162372884459e-05, 6.7190136250892e-06, 1.0404391707838897e-07]"
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""mean""",4.805765245898828e-05,"[8.464939303512365e-07, 1.1960542108279927e-05, 4.944048389699433e-05, 2.8385009737282348e-05, 2.4913504246894484e-05, 2.1961002367289765e-06, 3.0281576164836907e-05, 0.0003062865079744656, 2.598361429867667e-05, 2.826919953722757e-07]"
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""",4.249680731333759e-05,"[8.464939303512365e-07, 1.0245774304069358e-05, 4.6348710536613566e-05, 2.8385009737282348e-05, 2.1848324770426638e-05, 2.377585149367114e-06, 2.449784901172631e-05, 0.00026768448639390624, 2.2451147304260724e-05, 2.826919953722757e-07]"
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""",4.805765245898828e-05,"[8.464939303512365e-07, 1.1960542108279927e-05, 4.944048389699433e-05, 2.8385009737282348e-05, 2.4913504246894484e-05, 2.1961002367289765e-06, 3.0281576164836907e-05, 0.0003062865079744656, 2.598361429867667e-05, 2.826919953722757e-07]"
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min""",5.037353900774175e-05,"[8.464939303512365e-07, 1.1960542108279927e-05, 4.944048389699433e-05, 2.8385009737282348e-05, 2.4913504246894484e-05, 2.1961002367289765e-06, 3.0281576164836907e-05, 0.0003274867529426464, 2.7942234818030513e-05, 2.826919953722757e-07]"
"value_norm__fft_coefficient__attr_""imag""__coeff_1",6.971283604302286e-05,"[9.840580064019696e-07, 1.394717058438261e-05, 5.9931352902431066e-05, 1.6760877389249865e-05, 2.8385009737282348e-05, 9.018458640093404e-07, 1.71229505433962e-05, 0.0005536718398316766, 5.319211654320112e-06, 1.0404391707838897e-07]"
value_norm__fourier_entropy__bins_3,2.3175668472974532e-05,"[2.7537785491260383e-06, 3.972075686404894e-05, 6.732838346510528e-05, 5.795552265789781e-05, 1.5012952701941339e-05, 9.684235068555317e-07, 3.1983363728501896e-05, 9.361687352063039e-06, 6.637725199250821e-06, 3.409070495464329e-08]"
"value_norm__linear_trend__attr_""intercept""",4.805765245898828e-05,"[8.464939303512365e-07, 1.1960542108279927e-05, 4.944048389699433e-05, 2.8385009737282348e-05, 2.4913504246894484e-05, 2.1961002367289765e-06, 3.0281576164836907e-05, 0.0003062865079744656, 2.598361429867667e-05, 2.826919953722757e-07]"
"value_norm__linear_trend__attr_""rvalue""",4.805765245898828e-05,"[8.464939303512365e-07, 1.1960542108279927e-05, 4.944048389699433e-05, 2.8385009737282348e-05, 2.4913504246894484e-05, 2.1961002367289765e-06, 3.0281576164836907e-05, 0.0003062865079744656, 2.598361429867667e-05, 2.826919953722757e-07]"
"value_norm__linear_trend__attr_""slope""",4.805765245898828e-05,"[8.464939303512365e-07, 1.1960542108279927e-05, 4.944048389699433e-05, 2.8385009737282348e-05, 2.4913504246894484e-05, 2.1961002367289765e-06, 3.0281576164836907e-05, 0.0003062865079744656, 2.598361429867667e-05, 2.826919953722757e-07]"
