Feature,Mean P Value,P Values,Num_Relevant(10)
"value_norm__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""",9.432866595824608e-05,"[0.00022648495969707904, 4.7267208569620295e-05, 9.233829608038885e-06]",3
value_norm__autocorrelation__lag_1,0.00017162758956060388,[0.00017162758956060388],1
value_norm__autocorrelation__lag_2,0.0002021354524493296,[0.0002021354524493296],1
value_norm__autocorrelation__lag_3,0.00023768438133691682,[0.00023768438133691682],1
value_norm__autocorrelation__lag_4,0.0002880785869109814,[0.0002880785869109814],1
value_norm__c3__lag_1,0.00067289664395434,"[0.0015335676165852406, 0.000382734973725585, 0.00017394551698582798, 0.0006013384685207067]",4
value_norm__c3__lag_2,0.000668252418419087,"[0.0015335676165852406, 0.000382734973725585, 0.00017394551698582798, 0.000582761566379694]",4
value_norm__c3__lag_3,0.000659339744864538,"[0.0015335676165852406, 0.00037093658697004645, 0.0001681346716968595, 0.0005647201042060052]",4
"value_norm__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0",0.0004290702968269126,"[0.00036699533298090387, 0.0006900794506071192, 0.00023013610689271466]",3
"value_norm__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0",0.0004882215053774671,"[0.0004030317403434238, 0.0005734112704115104]",2
"value_norm__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2",0.0001265779926365301,"[9.30918627547525e-05, 1.21533274459839e-05, 2.816865779106762e-05, 0.0003728981225543164]",4
"value_norm__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",3.5494771316300485e-05,"[4.604810990314506e-07, 6.610915953214432e-05, 1.0773910484404246e-07, 3.368681323825024e-06, 0.00010742779552165761]",5
"value_norm__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",0.0007640484111758049,[0.0007640484111758049],1
"value_norm__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6",0.00013043623032621816,"[3.227017203324012e-06, 0.000803773953485091, 5.032376065150603e-07, 1.0340578287510835e-06, 2.890830148760832e-05, 3.0355661354495843e-05, 4.525138331774171e-05]",7
"value_norm__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",5.034955807744179e-05,"[1.1780920728513485e-07, 0.00010058130694759845]",2
"value_norm__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",0.001186014301576118,[0.001186014301576118],1
"value_norm__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",0.00016955043179732443,"[4.822259170246922e-05, 4.5327177784772955e-05, 8.702164006849436e-05, 0.0004976303176335613]",4
"value_norm__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",0.0002125738926865249,"[0.00037865858732430744, 0.0008800945836219072, 8.631169938482151e-06, 4.113918407164238e-07, 2.6275325361414254e-06, 5.020090857594863e-06]",6
