Feature,Mean P Value,P Values,Num_Relevant(10)
"value_norm__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.0001965591177777183,[0.0001965591177777183],1
"value_norm__agg_autocorrelation__f_agg_""var""__maxlag_40",7.276584275297107e-05,[7.276584275297107e-05],1
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""",6.323119221027634e-06,[6.323119221027634e-06],1
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var""",5.091725764502662e-06,[5.091725764502662e-06],1
"value_norm__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""var""",4.3001702431712945e-05,"[3.3276639660808335e-05, 5.2726765202617554e-05]",2
"value_norm__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",4.41442950092349e-05,"[3.556182481585224e-05, 5.2726765202617554e-05]",2
value_norm__approximate_entropy__m_2__r_0.1,8.264455498917037e-05,[8.264455498917037e-05],1
"value_norm__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC""",8.804682931022546e-05,[8.804682931022546e-05],1
"value_norm__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""",8.804682931022546e-05,[8.804682931022546e-05],1
"value_norm__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",1.0778075515673878e-05,"[1.039995643531166e-05, 1.1156194596036094e-05]",2
"value_norm__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",3.720565815758412e-05,"[6.401135987985658e-05, 1.039995643531166e-05]",2
"value_norm__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",5.140664562121835e-05,"[9.378153224218728e-05, 9.031759000249409e-06]",2
"value_norm__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",0.00011317569938497246,[0.00011317569938497246],1
"value_norm__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",5.626035838521337e-05,[5.626035838521337e-05],1
"value_norm__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4",1.3217822197860663e-05,"[1.8382849732353303e-05, 8.052794663368024e-06]",2
"value_norm__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",2.999591042089854e-05,"[1.9405053588192313e-05, 4.058676725360477e-05]",2
"value_norm__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",3.13952962126321e-05,"[2.722876760941196e-05, 3.556182481585224e-05]",2
"value_norm__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",5.449356179391546e-05,"[5.626035838521337e-05, 5.2726765202617554e-05]",2
"value_norm__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.6",4.588208297227941e-05,[4.588208297227941e-05],1
"value_norm__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",2.6683511371536975e-05,"[2.2235625454623768e-05, 3.113139728845018e-05]",2
"value_norm__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",1.926696201258861e-05,"[1.4739677681080112e-05, 2.3794246344097112e-05]",2
"value_norm__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",2.3316910598802137e-05,"[1.9405053588192313e-05, 2.722876760941196e-05]",2
"value_norm__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6",8.088316008650389e-05,"[0.000136309851550532, 2.545646862247576e-05]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_4",5.1730970092552615e-05,"[0.0001741352929923196, 1.2906652180417521e-05, 5.073280911152354e-06, 1.4808654286320967e-05]",4
"value_norm__fft_coefficient__attr_""abs""__coeff_5",9.378153224218728e-05,[9.378153224218728e-05],1
"value_norm__fft_coefficient__attr_""abs""__coeff_7",2.5172076663440514e-05,[2.5172076663440514e-05],1
"value_norm__fft_coefficient__attr_""abs""__coeff_8",0.00011317569938497246,[0.00011317569938497246],1
"value_norm__fft_coefficient__attr_""angle""__coeff_5",0.00023533512973858048,[0.00023533512973858048],1
"value_norm__fft_coefficient__attr_""imag""__coeff_5",3.077139169510849e-06,"[1.0567052965309723e-06, 5.097573042490726e-06]",2
"value_norm__fft_coefficient__attr_""real""__coeff_10",5.129018390849079e-05,[5.129018390849079e-05],1
value_norm__number_cwt_peaks__n_1,1.926998016631632e-06,[1.926998016631632e-06],1
value_norm__number_peaks__n_10,2.533419976702051e-05,"[1.6653137813442097e-05, 3.401526172059892e-05]",2
value_norm__number_peaks__n_3,8.840159869408847e-05,"[0.00013886272090582702, 3.7940476482349906e-05]",2
value_norm__number_peaks__n_5,1.632492924943781e-05,"[4.81268519141327e-06, 2.7837173307462346e-05]",2
value_norm__spkt_welch_density__coeff_5,1.947058662183663e-05,"[2.0774487673081416e-05, 2.2235625454623768e-05, 1.5401646737804706e-05]",3
