Feature,Mean P Value,P Values
value__abs_energy,1.495674076150859e-08,"[1.481381812403574e-07, 5.67341349357057e-13, 7.803310840592082e-12, 5.276138263462863e-15, 7.017273282580535e-14, 3.2761772644867894e-10, 3.780965022354494e-12, 1.1216705229175921e-13, 9.265349072040631e-10, 1.6273450794006496e-10]"
value__absolute_sum_of_changes,1.722591817200831e-09,"[1.6825477915298783e-08, 4.5233021068987185e-12, 3.9364611662195755e-11, 2.921419428121936e-14, 9.067568634128286e-13, 9.617690224296162e-12, 1.6155897883144346e-13, 3.349068238594294e-13, 2.594772621547867e-11, 3.195544896402727e-10]"
"value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""",1.6401875711130445e-08,"[6.503682681702872e-08, 1.7574611106434043e-09, 1.698262116128493e-08, 2.7308781485232967e-09, 2.6166115882608325e-09, 2.2194103473892236e-08, 5.135120401655824e-09, 4.0307837395128375e-09, 1.5507335428322183e-08, 2.8027015242180208e-08]"
"value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""",4.803522842833265e-07,"[1.3468621809036622e-06, 8.697727042110596e-08, 4.969146757318759e-07, 1.6675259263570475e-07, 7.62509150168503e-08, 7.245866790147145e-07, 4.6508386936559026e-07, 2.2610293685573195e-07, 3.901550494908926e-07, 8.238366733971366e-07]"
"value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""",3.8801274317660286e-05,"[5.122224157895513e-05, 9.690033708111887e-06, 4.7188392623730283e-05, 3.456948437009094e-05, 4.29769741914887e-06, 4.1429130003327635e-05, 9.873257913189258e-05, 1.9099221600856027e-05, 3.8653571849609065e-05, 4.313039089088049e-05]"
"value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""",3.0863640041232647e-09,"[2.6567090482853518e-08, 3.1936262772829383e-10, 3.044453608075445e-12, 1.0190876540091361e-11, 3.904816294252863e-11, 4.640289455847617e-13, 2.4003750295128316e-13, 1.4178078999907189e-09, 1.5389112918335309e-12, 2.5048525598290515e-09]"
"value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""max""",1.4972689109608104e-10,"[4.899804694952873e-10, 1.2491428188650654e-10, 1.583946902759146e-11, 4.47275281624223e-12, 8.10144713115676e-11, 7.528379295911404e-11, 1.2989854182509775e-11, 1.2344373816305652e-11, 1.4727037338766978e-10, 5.331590720780162e-10]"
"value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""",2.0700112677727282e-06,"[3.8072339184008708e-06, 2.3182691220716893e-07, 2.088120465825467e-06, 3.906952312302904e-07, 1.2666828162548044e-07, 2.0613856814441094e-06, 9.205867008528781e-07, 8.102282462597639e-07, 3.1358783995626298e-06, 7.1274888403186226e-06]"
"value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",1.608551048535487e-08,"[1.553830030971322e-07, 2.6823667519572197e-10, 1.4214379664236935e-11, 1.0562565159659447e-12, 1.3365239762055922e-09, 2.3693302879789878e-12, 4.61532623724452e-13, 3.196737725885612e-10, 6.651744045456719e-12, 3.52291408928926e-09]"
"value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""",9.160008306758227e-08,"[2.870876530530221e-07, 1.3757017883906261e-08, 7.090920837507419e-08, 2.5617557397282427e-08, 2.118403168855502e-08, 1.6079162866259825e-07, 5.41701991233564e-08, 5.957028198494725e-08, 8.308451885678311e-08, 1.3982873365029767e-07]"
