Feature,Mean P Value,P Values
"value_norm__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max""",1.7793294219771555e-07,"[1.6604640223233815e-07, 6.479818650127063e-07, 1.4233033606754362e-10, 7.438617223312553e-08, 1.10794117434035e-09]"
"value_norm__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean""",0.00022301664654274665,"[0.0001699189574452326, 1.966765942915566e-05, 0.0005776043076032863, 0.00012487566169331203]"
"value_norm__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""min""",2.6997316535560186e-05,[2.6997316535560186e-05]
"value_norm__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""",9.444592807502041e-05,"[0.00022958673517360937, 0.00022054259206568644, 2.2395241243094715e-07, 2.0123869958427145e-05, 1.7524907649480636e-06]"
"value_norm__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""",0.0002195407887144167,"[0.00031084010290186953, 0.0006985273392026906, 1.3240309074919662e-06, 7.99844927224758e-05, 7.027977837555586e-06]"
"value_norm__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""",0.00014699986792987143,"[0.00032136915833432987, 5.097928683566501e-06, 0.0002470832982935005, 1.4449086408088824e-05]"
value_norm__ar_coefficient__coeff_1__k_10,5.83338673865988e-06,"[8.560991990274587e-07, 4.0949605524776095e-06, 1.569491109733164e-05, 6.458733544598842e-06, 2.062229299863847e-06]"
value_norm__ar_coefficient__coeff_2__k_10,1.7014209229868e-05,"[7.4446936301414105e-06, 7.488061376358255e-08, 1.3484965491830399e-05, 3.007302714046453e-06, 6.105920369955816e-05]"
value_norm__ar_coefficient__coeff_5__k_10,0.0005319621232179345,[0.0005319621232179345]
"value_norm__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",0.00014849299015257312,"[9.237946854636951e-05, 0.00020460651175877674]"
"value_norm__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",0.00011116528336145195,"[6.992391522227647e-05, 0.00015240665150062743]"
"value_norm__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",0.00022022524128558713,"[0.0006577898618875985, 2.675971684398407e-06, 2.0989028476453674e-07]"
"value_norm__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",0.0003630096287039871,[0.0003630096287039871]
"value_norm__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",0.0006121068053887013,[0.0006121068053887013]
"value_norm__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",0.00012487566169331203,[0.00012487566169331203]
"value_norm__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",0.000310185041831238,[0.000310185041831238]
"value_norm__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",0.0005421484364327097,[0.0005421484364327097]
"value_norm__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)",0.0002701993933086791,"[0.00047052572018250105, 9.897487241368291e-05, 0.00036864658406492396, 0.0001426503965736084]"
"value_norm__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)",2.5658577608124983e-05,"[0.0001275173415344989, 7.488061376358255e-08, 6.770360390467117e-10, 6.85398450200431e-07, 1.4590406122950621e-08]"
