Feature,Mean P Value,P Values
value__abs_energy,1.5119623775137732e-05,"[4.7544575177446596e-05, 1.868409770231647e-05, 3.4961836067005302e-06, 5.195184216663585e-06, 6.780781725614737e-07]"
value__absolute_sum_of_changes,1.3195959839535859e-05,"[2.580496489229485e-05, 1.1432692434677604e-05, 1.5010812270949079e-05, 5.35369760221899e-07]"
"value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""",0.00011176805068951028,"[0.0003190652098942552, 0.0001079975159259082, 1.4007462781616793e-05, 6.002014156260919e-06]"
"value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""max""",0.00017314983344177725,"[0.00019926298211626106, 0.00014703668476729345]"
"value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min""",0.000507972424039433,[0.000507972424039433]
"value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",0.0002456999837625776,"[0.0006692792038567286, 0.0002783181617191999, 2.9617901903695185e-05, 5.584667570686529e-06]"
"value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""",0.00016761832603389535,"[0.0004689035874601965, 0.0001697356601942312, 2.2628163697069274e-05, 9.20589278408448e-06]"
"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max""",4.4798597284309164e-05,"[9.741661363100616e-05, 1.975238236037912e-05, 1.7226795861542217e-05]"
"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""mean""",0.00021211344460474405,"[0.0003744599911551303, 0.00014703668476729345, 0.00011484365789180845]"
"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max""",7.363743572348419e-05,"[0.00024807224564813384, 3.124608808659265e-05, 2.574960759279676e-05, 4.7036775461872085e-05, 1.6082461828025562e-05]"
"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""",9.978690784915093e-05,"[0.0003278314996770794, 4.021295591553805e-05, 3.735520778340148e-05, 6.932347854823647e-05, 2.4211397321499285e-05]"
"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min""",5.8415524886852206e-05,"[4.8487512332280914e-05, 5.3819899009224365e-05, 9.519510175295618e-05, 3.6159586452947365e-05]"
"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""var""",3.063802663338544e-05,"[6.097000597646629e-05, 3.060472903045863e-07]"
"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max""",9.267718960907912e-05,[9.267718960907912e-05]
"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean""",0.00029415325432600363,"[5.1912655860698345e-06, 0.0005831152430659374]"
"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""var""",0.00010136181099951014,[0.00010136181099951014]
"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""",6.211916217113913e-05,"[0.00020936886192831616, 3.5461325620022555e-05, 1.6537759077622063e-05, 3.6159586452947365e-05, 1.3068277776787477e-05]"
"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""",6.97710868384447e-05,"[0.00023448123195469642, 3.5461325620022555e-05, 1.762775105707727e-05, 4.405832969888502e-05, 1.7226795861542217e-05]"
"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""",8.769721422131793e-05,"[0.0003101747775538809, 4.280957957514799e-05, 2.001647715029089e-05, 4.7036775461872085e-05, 1.844846136539776e-05]"
"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",5.760156501704681e-05,"[0.00011484365789180845, 3.5947214228515906e-07]"
"value__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC""",7.709235790075446e-05,"[2.422021851964687e-06, 0.00015176269394954423]"
"value__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""",7.709235790075446e-05,"[2.422021851964687e-06, 0.00015176269394954423]"
"value__augmented_dickey_fuller__attr_""usedlag""__autolag_""AIC""",0.000153995339536753,"[0.0002885460059907327, 1.9444673082773316e-05]"
value__benford_correlation,0.0003203866409043702,[0.0003203866409043702]
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.4",0.0002118492033957154,[0.0002118492033957154]
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",0.00010408134176829937,"[3.124608808659265e-05, 0.00028542237671370994, 0.00012813002041310256, 5.715976226269394e-05, 1.844846136539776e-05]"
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",0.00010586275370014578,"[5.1587433693118675e-05, 0.00028542237671370994, 0.0001210557853105289, 4.7036775461872085e-05, 2.4211397321499285e-05]"
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",0.00017460688334882437,"[8.930192013425182e-05, 0.0005433053719365831, 7.200766146799307e-05, 0.00011484365789180845, 5.357580531348542e-05]"
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6",6.27954447281973e-05,"[4.280957957514799e-05, 4.277429227262398e-06, 0.00019926298211626106, 4.831787994117752e-06]"
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",0.00010086693020706171,"[3.776626240891978e-05, 0.00015446554428835718, 0.0003100182852861106, 1.8445414085707022e-06, 2.400176433501809e-07]"
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",7.526634254194962e-05,"[5.1587433693118675e-05, 8.66477153124208e-05, 0.00023641384125476424, 1.2608777619650826e-06, 4.218446874792884e-07]"
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",0.00010017688740482735,"[4.021295591553805e-05, 0.0003548020957719881, 0.000101978186291945, 2.890325903279846e-06, 1.0008731413858164e-06]"
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",3.5783744819247564e-05,"[0.00010066199677544048, 2.929948652695806e-05, 1.3068277776787477e-05, 1.052181978042604e-07]"
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",3.830277711652626e-05,"[6.596762950188408e-05, 2.5907033787618903e-05, 5.715976226269394e-05, 4.176682913908119e-06]"
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",4.115915473312728e-05,"[7.91606161165043e-05, 3.972382892986663e-05, 4.125936379343004e-05, 4.492810092708158e-06]"
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",5.939178658814797e-05,"[0.00010066199677544048, 2.7553659659946013e-05, 0.00010136181099951014, 7.98967891769525e-06]"
