feature,feature,type,p_value,relevant
"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""","value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""",real,0.02471699068081749,False
"value__linear_trend__attr_""intercept""","value__linear_trend__attr_""intercept""",real,0.025234690900403537,False
"value__fft_coefficient__attr_""angle""__coeff_80","value__fft_coefficient__attr_""angle""__coeff_80",real,0.025234690900403537,False
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.2","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.2",real,0.025761750122974943,False
"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6","value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6",real,0.026298303145577386,False
value__energy_ratio_by_chunks__num_segments_10__segment_focus_6,value__energy_ratio_by_chunks__num_segments_10__segment_focus_6,real,0.02972469027670142,False
"value__fft_coefficient__attr_""angle""__coeff_63","value__fft_coefficient__attr_""angle""__coeff_63",real,0.03033157436027221,False
"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""var""","value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""var""",real,0.03033157436027221,False
"value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""","value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""",real,0.03286671951305571,False
"value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""","value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",real,0.03286671951305571,False
"value__fft_coefficient__attr_""angle""__coeff_71","value__fft_coefficient__attr_""angle""__coeff_71",real,0.03488520204093788,False
"value__fft_coefficient__attr_""abs""__coeff_6","value__fft_coefficient__attr_""abs""__coeff_6",real,0.03488520204093788,False
value__partial_autocorrelation__lag_4,value__partial_autocorrelation__lag_4,real,0.03488520204093788,False
"value__fft_coefficient__attr_""angle""__coeff_74","value__fft_coefficient__attr_""angle""__coeff_74",real,0.03558113974607405,False
value__c3__lag_3,value__c3__lag_3,real,0.037008597939708655,False
"value__fft_coefficient__attr_""angle""__coeff_72","value__fft_coefficient__attr_""angle""__coeff_72",real,0.037008597939708655,False
value__fourier_entropy__bins_10,value__fourier_entropy__bins_10,real,0.038958817695330016,False
"value__fft_coefficient__attr_""abs""__coeff_4","value__fft_coefficient__attr_""abs""__coeff_4",real,0.04001020165053828,False
value__c3__lag_2,value__c3__lag_2,real,0.040792082089802326,False
"value__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)",real,0.04158687370061358,False
"value__fft_coefficient__attr_""angle""__coeff_58","value__fft_coefficient__attr_""angle""__coeff_58",real,0.04239473789726555,False
"value__fft_coefficient__attr_""angle""__coeff_21","value__fft_coefficient__attr_""angle""__coeff_21",real,0.04239473789726555,False
value__ar_coefficient__coeff_3__k_10,value__ar_coefficient__coeff_3__k_10,real,0.044898394529178105,False
value__c3__lag_1,value__c3__lag_1,real,0.044898394529178105,False
value__cid_ce__normalize_True,value__cid_ce__normalize_True,real,0.046635863844072284,False
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8","value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8",real,0.04934794534158248,False
"value__fft_coefficient__attr_""abs""__coeff_0","value__fft_coefficient__attr_""abs""__coeff_0",real,0.05122855237139395,False
"value__cwt_coefficients__coeff_7__w_2__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_7__w_2__widths_(2, 5, 10, 20)",real,0.05316879279406117,False
"value__fft_coefficient__attr_""imag""__coeff_9","value__fft_coefficient__attr_""imag""__coeff_9",real,0.054161705617595694,False
value__ar_coefficient__coeff_1__k_10,value__ar_coefficient__coeff_1__k_10,real,0.05619398306236204,False
value__friedrich_coefficients__coeff_2__m_3__r_30,value__friedrich_coefficients__coeff_2__m_3__r_30,real,0.06155381242762307,False
"value__fft_coefficient__attr_""angle""__coeff_81","value__fft_coefficient__attr_""angle""__coeff_81",real,0.06155381242762307,False
"value__fft_coefficient__attr_""imag""__coeff_4","value__fft_coefficient__attr_""imag""__coeff_4",real,0.06496818521082594,False
"value__fft_coefficient__attr_""angle""__coeff_83","value__fft_coefficient__attr_""angle""__coeff_83",real,0.06733010405701545,False
"value__fft_coefficient__attr_""angle""__coeff_68","value__fft_coefficient__attr_""angle""__coeff_68",real,0.06853730355544271,False
"value__fft_coefficient__attr_""abs""__coeff_59","value__fft_coefficient__attr_""abs""__coeff_59",real,0.06976223694717028,False
"value__fft_coefficient__attr_""angle""__coeff_79","value__fft_coefficient__attr_""angle""__coeff_79",real,0.0722660291057156,False
"value__fft_coefficient__attr_""angle""__coeff_41","value__fft_coefficient__attr_""angle""__coeff_41",real,0.07354525051822507,False
value__fourier_entropy__bins_5,value__fourier_entropy__bins_5,real,0.07514700596746329,False
value__fourier_entropy__bins_100,value__fourier_entropy__bins_100,real,0.07607396479932342,False
"value__fft_coefficient__attr_""angle""__coeff_84","value__fft_coefficient__attr_""angle""__coeff_84",real,0.07749024746932792,False
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.4","value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.4",real,0.07749439763570795,False
"value__fft_coefficient__attr_""angle""__coeff_57","value__fft_coefficient__attr_""angle""__coeff_57",real,0.07749439763570795,False
"value__fft_coefficient__attr_""angle""__coeff_60","value__fft_coefficient__attr_""angle""__coeff_60",real,0.08161459655501913,False
"value__fft_coefficient__attr_""abs""__coeff_67","value__fft_coefficient__attr_""abs""__coeff_67",real,0.08161459655501913,False
"value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""","value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""",real,0.0830268595807078,False
"value__fft_coefficient__attr_""real""__coeff_12","value__fft_coefficient__attr_""real""__coeff_12",real,0.08887510092246949,False
value__ar_coefficient__coeff_9__k_10,value__ar_coefficient__coeff_9__k_10,real,0.08887510092246949,False
"value__fft_coefficient__attr_""angle""__coeff_36","value__fft_coefficient__attr_""angle""__coeff_36",real,0.09038787186931128,False
"value__fft_coefficient__attr_""angle""__coeff_66","value__fft_coefficient__attr_""angle""__coeff_66",real,0.09192129205056618,False
"value__fft_coefficient__attr_""angle""__coeff_32","value__fft_coefficient__attr_""angle""__coeff_32",real,0.09192129205056618,False
"value__fft_coefficient__attr_""angle""__coeff_53","value__fft_coefficient__attr_""angle""__coeff_53",real,0.09192129205056618,False
"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8","value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8",real,0.0934755436928922,False
"value__fft_coefficient__attr_""angle""__coeff_54","value__fft_coefficient__attr_""angle""__coeff_54",real,0.0934755436928922,False
"value__fft_coefficient__attr_""abs""__coeff_97","value__fft_coefficient__attr_""abs""__coeff_97",real,0.09730441953891088,False
value__symmetry_looking__r_0.25,value__symmetry_looking__r_0.25,binary,0.09742441209406506,False
"value__fft_coefficient__attr_""abs""__coeff_58","value__fft_coefficient__attr_""abs""__coeff_58",real,0.09990450114034721,False
"value__fft_coefficient__attr_""abs""__coeff_42","value__fft_coefficient__attr_""abs""__coeff_42",real,0.10156563468212973,False
"value__fft_coefficient__attr_""abs""__coeff_63","value__fft_coefficient__attr_""abs""__coeff_63",real,0.10156563468212973,False
"value__fft_coefficient__attr_""angle""__coeff_69","value__fft_coefficient__attr_""angle""__coeff_69",real,0.10495383866514414,False
"value__fft_coefficient__attr_""abs""__coeff_99","value__fft_coefficient__attr_""abs""__coeff_99",real,0.10528256909209156,False
"value__fft_coefficient__attr_""abs""__coeff_46","value__fft_coefficient__attr_""abs""__coeff_46",real,0.10843115548014479,False
value__range_count__max_1000000000000.0__min_0,value__range_count__max_1000000000000.0__min_0,real,0.10997822712954364,False
value__quantile__q_0.7,value__quantile__q_0.7,real,0.11020367807230148,False
"value__fft_coefficient__attr_""abs""__coeff_79","value__fft_coefficient__attr_""abs""__coeff_79",real,0.11020367807230148,False
value__ar_coefficient__coeff_7__k_10,value__ar_coefficient__coeff_7__k_10,real,0.11199901394203615,False
value__fourier_entropy__bins_3,value__fourier_entropy__bins_3,real,0.11263940701228109,False
"value__fft_coefficient__attr_""angle""__coeff_61","value__fft_coefficient__attr_""angle""__coeff_61",real,0.11381734014548141,False
"value__fft_coefficient__attr_""abs""__coeff_2","value__fft_coefficient__attr_""abs""__coeff_2",real,0.11381734014548141,False
"value__fft_coefficient__attr_""abs""__coeff_81","value__fft_coefficient__attr_""abs""__coeff_81",real,0.11565883303983827,False
"value__fft_coefficient__attr_""angle""__coeff_43","value__fft_coefficient__attr_""angle""__coeff_43",real,0.11565883303983827,False
"value__fft_coefficient__attr_""abs""__coeff_50","value__fft_coefficient__attr_""abs""__coeff_50",real,0.11752366824031901,False
"value__fft_coefficient__attr_""angle""__coeff_65","value__fft_coefficient__attr_""angle""__coeff_65",real,0.11752366824031901,False
"value__fft_coefficient__attr_""abs""__coeff_51","value__fft_coefficient__attr_""abs""__coeff_51",real,0.11941202057673311,False
"value__fft_coefficient__attr_""abs""__coeff_55","value__fft_coefficient__attr_""abs""__coeff_55",real,0.11941202057673311,False
"value__fft_coefficient__attr_""abs""__coeff_22","value__fft_coefficient__attr_""abs""__coeff_22",real,0.11941202057673311,False
"value__fft_coefficient__attr_""abs""__coeff_66","value__fft_coefficient__attr_""abs""__coeff_66",real,0.11941202057673311,False
"value__fft_coefficient__attr_""abs""__coeff_39","value__fft_coefficient__attr_""abs""__coeff_39",real,0.11941202057673311,False
"value__fft_coefficient__attr_""abs""__coeff_84","value__fft_coefficient__attr_""abs""__coeff_84",real,0.12131885288968026,False
"value__fft_coefficient__attr_""abs""__coeff_34","value__fft_coefficient__attr_""abs""__coeff_34",real,0.12132406404972565,False
"value__fft_coefficient__attr_""imag""__coeff_8","value__fft_coefficient__attr_""imag""__coeff_8",real,0.12132406404972565,False
"value__fft_coefficient__attr_""abs""__coeff_69","value__fft_coefficient__attr_""abs""__coeff_69",real,0.12132406404972565,False
"value__fft_coefficient__attr_""angle""__coeff_33","value__fft_coefficient__attr_""angle""__coeff_33",real,0.12132406404972565,False
"value__fft_coefficient__attr_""abs""__coeff_83","value__fft_coefficient__attr_""abs""__coeff_83",real,0.12325997178667777,False
"value__fft_coefficient__attr_""abs""__coeff_72","value__fft_coefficient__attr_""abs""__coeff_72",real,0.12325997178667777,False
"value__fft_coefficient__attr_""abs""__coeff_74","value__fft_coefficient__attr_""abs""__coeff_74",real,0.12325997178667777,False
"value__fft_coefficient__attr_""abs""__coeff_60","value__fft_coefficient__attr_""abs""__coeff_60",real,0.12521991599727925,False
"value__fft_coefficient__attr_""abs""__coeff_38","value__fft_coefficient__attr_""abs""__coeff_38",real,0.12521991599727925,False
"value__fft_coefficient__attr_""abs""__coeff_68","value__fft_coefficient__attr_""abs""__coeff_68",real,0.12521991599727925,False
"value__fft_coefficient__attr_""abs""__coeff_85","value__fft_coefficient__attr_""abs""__coeff_85",real,0.12717745073113776,False
"value__fft_coefficient__attr_""angle""__coeff_28","value__fft_coefficient__attr_""angle""__coeff_28",real,0.129212597820951,False
"value__fft_coefficient__attr_""abs""__coeff_62","value__fft_coefficient__attr_""abs""__coeff_62",real,0.1312456748607094,False
"value__fft_coefficient__attr_""angle""__coeff_20","value__fft_coefficient__attr_""angle""__coeff_20",real,0.1312456748607094,False
"value__fft_coefficient__attr_""abs""__coeff_43","value__fft_coefficient__attr_""abs""__coeff_43",real,0.1312456748607094,False
value__index_mass_quantile__q_0.6,value__index_mass_quantile__q_0.6,real,0.13329260018206482,False
"value__fft_coefficient__attr_""angle""__coeff_44","value__fft_coefficient__attr_""angle""__coeff_44",real,0.13330346713650934,False
"value__fft_coefficient__attr_""abs""__coeff_33","value__fft_coefficient__attr_""abs""__coeff_33",real,0.13330346713650934,False
"value__fft_coefficient__attr_""abs""__coeff_95","value__fft_coefficient__attr_""abs""__coeff_95",real,0.1348881626319673,False
"value__fft_coefficient__attr_""abs""__coeff_25","value__fft_coefficient__attr_""abs""__coeff_25",real,0.13538614159242038,False
value__first_location_of_minimum,value__first_location_of_minimum,real,0.13565852135111098,False
"value__fft_coefficient__attr_""abs""__coeff_96","value__fft_coefficient__attr_""abs""__coeff_96",real,0.13672248942701748,False
"value__fft_coefficient__attr_""abs""__coeff_29","value__fft_coefficient__attr_""abs""__coeff_29",real,0.13749386398195781,False
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.2","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.2",real,0.13749386398195781,False
"value__fft_coefficient__attr_""abs""__coeff_64","value__fft_coefficient__attr_""abs""__coeff_64",real,0.13749386398195781,False
"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""min""","value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""min""",real,0.13962679882166007,False
"value__fft_coefficient__attr_""abs""__coeff_98","value__fft_coefficient__attr_""abs""__coeff_98",real,0.14019313550992668,False
"value__fft_coefficient__attr_""abs""__coeff_87","value__fft_coefficient__attr_""abs""__coeff_87",real,0.141707031327135,False
"value__fft_coefficient__attr_""abs""__coeff_53","value__fft_coefficient__attr_""abs""__coeff_53",real,0.141785109344426,False
"value__fft_coefficient__attr_""angle""__coeff_67","value__fft_coefficient__attr_""angle""__coeff_67",real,0.141785109344426,False
"value__fft_coefficient__attr_""abs""__coeff_80","value__fft_coefficient__attr_""abs""__coeff_80",real,0.141785109344426,False
"value__fft_coefficient__attr_""abs""__coeff_26","value__fft_coefficient__attr_""abs""__coeff_26",real,0.141785109344426,False
"value__fft_coefficient__attr_""abs""__coeff_54","value__fft_coefficient__attr_""abs""__coeff_54",real,0.14396895745262572,False
"value__fft_coefficient__attr_""abs""__coeff_21","value__fft_coefficient__attr_""abs""__coeff_21",real,0.14396895745262572,False
"value__fft_coefficient__attr_""abs""__coeff_75","value__fft_coefficient__attr_""abs""__coeff_75",real,0.14396895745262572,False
"value__fft_coefficient__attr_""abs""__coeff_28","value__fft_coefficient__attr_""abs""__coeff_28",real,0.14396895745262572,False
"value__fft_coefficient__attr_""abs""__coeff_61","value__fft_coefficient__attr_""abs""__coeff_61",real,0.14396895745262572,False
"value__fft_coefficient__attr_""angle""__coeff_38","value__fft_coefficient__attr_""angle""__coeff_38",real,0.14396895745262572,False
"value__fft_coefficient__attr_""abs""__coeff_78","value__fft_coefficient__attr_""abs""__coeff_78",real,0.14396895745262572,False
"value__fft_coefficient__attr_""angle""__coeff_4","value__fft_coefficient__attr_""angle""__coeff_4",real,0.1461785036709964,False
"value__fft_coefficient__attr_""imag""__coeff_3","value__fft_coefficient__attr_""imag""__coeff_3",real,0.1461785036709964,False
"value__fft_coefficient__attr_""abs""__coeff_82","value__fft_coefficient__attr_""abs""__coeff_82",real,0.1461785036709964,False
"value__fft_coefficient__attr_""abs""__coeff_40","value__fft_coefficient__attr_""abs""__coeff_40",real,0.14841390709933625,False
"value__fft_coefficient__attr_""abs""__coeff_44","value__fft_coefficient__attr_""abs""__coeff_44",real,0.14841390709933625,False
"value__fft_coefficient__attr_""abs""__coeff_88","value__fft_coefficient__attr_""abs""__coeff_88",real,0.1505038462747375,False
"value__agg_autocorrelation__f_agg_""var""__maxlag_40","value__agg_autocorrelation__f_agg_""var""__maxlag_40",real,0.15067532536500924,False
"value__cwt_coefficients__coeff_13__w_2__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_13__w_2__widths_(2, 5, 10, 20)",real,0.15067532536500924,False
"value__fft_coefficient__attr_""angle""__coeff_37","value__fft_coefficient__attr_""angle""__coeff_37",real,0.15067532536500924,False
"value__fft_coefficient__attr_""abs""__coeff_41","value__fft_coefficient__attr_""abs""__coeff_41",real,0.15067532536500924,False
value__last_location_of_minimum,value__last_location_of_minimum,real,0.1517929112374475,False
"value__fft_coefficient__attr_""abs""__coeff_70","value__fft_coefficient__attr_""abs""__coeff_70",real,0.1529629145752736,False
"value__fft_coefficient__attr_""abs""__coeff_76","value__fft_coefficient__attr_""abs""__coeff_76",real,0.1529629145752736,False
"value__cwt_coefficients__coeff_14__w_2__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_14__w_2__widths_(2, 5, 10, 20)",real,0.1529629145752736,False
"value__fft_coefficient__attr_""angle""__coeff_82","value__fft_coefficient__attr_""angle""__coeff_82",real,0.1529629145752736,False
"value__fft_coefficient__attr_""angle""__coeff_27","value__fft_coefficient__attr_""angle""__coeff_27",real,0.1529629145752736,False
"value__fft_coefficient__attr_""abs""__coeff_47","value__fft_coefficient__attr_""abs""__coeff_47",real,0.1552768292694484,False
"value__fft_coefficient__attr_""abs""__coeff_49","value__fft_coefficient__attr_""abs""__coeff_49",real,0.1552768292694484,False
"value__fft_coefficient__attr_""imag""__coeff_6","value__fft_coefficient__attr_""imag""__coeff_6",real,0.1552768292694484,False
"value__fft_coefficient__attr_""angle""__coeff_99","value__fft_coefficient__attr_""angle""__coeff_99",real,0.15595663026114243,False
"value__fft_coefficient__attr_""abs""__coeff_23","value__fft_coefficient__attr_""abs""__coeff_23",real,0.15761722237092946,False
"value__fft_coefficient__attr_""abs""__coeff_30","value__fft_coefficient__attr_""abs""__coeff_30",real,0.15761722237092946,False
"value__fft_coefficient__attr_""angle""__coeff_48","value__fft_coefficient__attr_""angle""__coeff_48",real,0.15761722237092946,False
"value__fft_coefficient__attr_""abs""__coeff_20","value__fft_coefficient__attr_""abs""__coeff_20",real,0.15761722237092946,False
"value__fft_coefficient__attr_""abs""__coeff_18","value__fft_coefficient__attr_""abs""__coeff_18",real,0.15761722237092946,False
"value__fft_coefficient__attr_""abs""__coeff_86","value__fft_coefficient__attr_""abs""__coeff_86",real,0.15990236943851122,False
"value__fft_coefficient__attr_""angle""__coeff_85","value__fft_coefficient__attr_""angle""__coeff_85",real,0.15995500570622168,False
value__energy_ratio_by_chunks__num_segments_10__segment_focus_5,value__energy_ratio_by_chunks__num_segments_10__segment_focus_5,real,0.15998424513907084,False
"value__fft_coefficient__attr_""abs""__coeff_77","value__fft_coefficient__attr_""abs""__coeff_77",real,0.15998424513907084,False
"value__fft_coefficient__attr_""angle""__coeff_34","value__fft_coefficient__attr_""angle""__coeff_34",real,0.15998424513907084,False
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.0","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.0",real,0.15998424513907084,False
"value__fft_coefficient__attr_""abs""__coeff_19","value__fft_coefficient__attr_""abs""__coeff_19",real,0.15998424513907084,False
"value__fft_coefficient__attr_""abs""__coeff_48","value__fft_coefficient__attr_""abs""__coeff_48",real,0.15998424513907084,False
"value__fft_coefficient__attr_""real""__coeff_2","value__fft_coefficient__attr_""real""__coeff_2",real,0.1623780471209445,False
value__index_mass_quantile__q_0.3,value__index_mass_quantile__q_0.3,real,0.16357914058905076,False
"value__fft_coefficient__attr_""imag""__coeff_89","value__fft_coefficient__attr_""imag""__coeff_89",real,0.1646213814606624,False
"value__fft_coefficient__attr_""abs""__coeff_37","value__fft_coefficient__attr_""abs""__coeff_37",real,0.16479877610299287,False
"value__fft_coefficient__attr_""abs""__coeff_71","value__fft_coefficient__attr_""abs""__coeff_71",real,0.16479877610299287,False
"value__fft_coefficient__attr_""abs""__coeff_45","value__fft_coefficient__attr_""abs""__coeff_45",real,0.16479877610299287,False
"value__fft_coefficient__attr_""abs""__coeff_73","value__fft_coefficient__attr_""abs""__coeff_73",real,0.16724657806258814,False
"value__fft_coefficient__attr_""abs""__coeff_27","value__fft_coefficient__attr_""abs""__coeff_27",real,0.16724657806258814,False
value__large_standard_deviation__r_0.35000000000000003,value__large_standard_deviation__r_0.35000000000000003,binary,0.16857665934424942,False
"value__fft_coefficient__attr_""angle""__coeff_86","value__fft_coefficient__attr_""angle""__coeff_86",real,0.16963794704031265,False
"value__fft_coefficient__attr_""abs""__coeff_52","value__fft_coefficient__attr_""abs""__coeff_52",real,0.16972159711951273,False
value__longest_strike_above_mean,value__longest_strike_above_mean,real,0.17684103737903933,False
value__count_above_mean,value__count_above_mean,real,0.17684103737903933,False
"value__fft_coefficient__attr_""real""__coeff_48","value__fft_coefficient__attr_""real""__coeff_48",real,0.17731136918768065,False
value__ar_coefficient__coeff_8__k_10,value__ar_coefficient__coeff_8__k_10,real,0.17731136918768065,False
"value__fft_coefficient__attr_""real""__coeff_11","value__fft_coefficient__attr_""real""__coeff_11",real,0.17731136918768065,False
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",real,0.1798966589786426,False
"value__fft_coefficient__attr_""angle""__coeff_49","value__fft_coefficient__attr_""angle""__coeff_49",real,0.18250985690021992,False
"value__fft_coefficient__attr_""abs""__coeff_57","value__fft_coefficient__attr_""abs""__coeff_57",real,0.18250985690021992,False
"value__fft_coefficient__attr_""imag""__coeff_25","value__fft_coefficient__attr_""imag""__coeff_25",real,0.18250985690021992,False
"value__fft_coefficient__attr_""abs""__coeff_35","value__fft_coefficient__attr_""abs""__coeff_35",real,0.18250985690021992,False
"value__fft_coefficient__attr_""imag""__coeff_30","value__fft_coefficient__attr_""imag""__coeff_30",real,0.18515109490524706,False
"value__fft_coefficient__attr_""abs""__coeff_94","value__fft_coefficient__attr_""abs""__coeff_94",real,0.1874804815449006,False
"value__fft_coefficient__attr_""abs""__coeff_36","value__fft_coefficient__attr_""abs""__coeff_36",real,0.18782050274840179,False
"value__fft_coefficient__attr_""imag""__coeff_83","value__fft_coefficient__attr_""imag""__coeff_83",real,0.18782050274840179,False
"value__fft_coefficient__attr_""real""__coeff_58","value__fft_coefficient__attr_""real""__coeff_58",real,0.1905182079376061,False
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.2","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.2",real,0.1905182079376061,False
"value__fft_coefficient__attr_""abs""__coeff_24","value__fft_coefficient__attr_""abs""__coeff_24",real,0.1905182079376061,False
"value__fft_coefficient__attr_""angle""__coeff_93","value__fft_coefficient__attr_""angle""__coeff_93",real,0.1929013279134224,False
"value__fft_coefficient__attr_""abs""__coeff_32","value__fft_coefficient__attr_""abs""__coeff_32",real,0.1932443356854855,False
"value__fft_coefficient__attr_""angle""__coeff_64","value__fft_coefficient__attr_""angle""__coeff_64",real,0.1959990088609075,False
"value__fft_coefficient__attr_""angle""__coeff_17","value__fft_coefficient__attr_""angle""__coeff_17",real,0.1959990088609075,False
"value__fft_coefficient__attr_""imag""__coeff_15","value__fft_coefficient__attr_""imag""__coeff_15",real,0.1959990088609075,False
"value__fft_coefficient__attr_""real""__coeff_73","value__fft_coefficient__attr_""real""__coeff_73",real,0.1959990088609075,False
"value__fft_coefficient__attr_""imag""__coeff_50","value__fft_coefficient__attr_""imag""__coeff_50",real,0.1959990088609075,False
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.4","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.4",real,0.19878234794061378,False
value__friedrich_coefficients__coeff_1__m_3__r_30,value__friedrich_coefficients__coeff_1__m_3__r_30,real,0.19878234794061378,False
"value__fft_coefficient__attr_""real""__coeff_49","value__fft_coefficient__attr_""real""__coeff_49",real,0.19878234794061378,False
"value__fft_coefficient__attr_""abs""__coeff_31","value__fft_coefficient__attr_""abs""__coeff_31",real,0.20159447096096006,False
"value__fft_coefficient__attr_""real""__coeff_70","value__fft_coefficient__attr_""real""__coeff_70",real,0.20159447096096006,False
"value__fft_coefficient__attr_""imag""__coeff_36","value__fft_coefficient__attr_""imag""__coeff_36",real,0.20159447096096006,False
value__count_below_mean,value__count_below_mean,real,0.20290701498526165,False
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.0","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.0",real,0.20443549346978573,False
"value__fft_coefficient__attr_""real""__coeff_54","value__fft_coefficient__attr_""real""__coeff_54",real,0.20443549346978573,False
"value__fft_coefficient__attr_""real""__coeff_24","value__fft_coefficient__attr_""real""__coeff_24",real,0.20443549346978573,False
"value__fft_coefficient__attr_""angle""__coeff_45","value__fft_coefficient__attr_""angle""__coeff_45",real,0.20443549346978573,False
"value__fft_coefficient__attr_""imag""__coeff_96","value__fft_coefficient__attr_""imag""__coeff_96",real,0.20641397075941426,False
"value__fft_coefficient__attr_""angle""__coeff_96","value__fft_coefficient__attr_""angle""__coeff_96",real,0.20641397075941426,False
"value__fft_coefficient__attr_""angle""__coeff_91","value__fft_coefficient__attr_""angle""__coeff_91",real,0.2071146876648049,False
"value__fft_coefficient__attr_""real""__coeff_33","value__fft_coefficient__attr_""real""__coeff_33",real,0.20730552847842554,False
"value__fft_coefficient__attr_""imag""__coeff_13","value__fft_coefficient__attr_""imag""__coeff_13",real,0.20730552847842554,False
"value__fft_coefficient__attr_""real""__coeff_67","value__fft_coefficient__attr_""real""__coeff_67",real,0.20730552847842554,False
"value__fft_coefficient__attr_""imag""__coeff_18","value__fft_coefficient__attr_""imag""__coeff_18",real,0.21020468641388068,False
"value__fft_coefficient__attr_""imag""__coeff_17","value__fft_coefficient__attr_""imag""__coeff_17",real,0.21020468641388068,False
"value__fft_coefficient__attr_""imag""__coeff_21","value__fft_coefficient__attr_""imag""__coeff_21",real,0.21020468641388068,False
"value__fft_coefficient__attr_""real""__coeff_28","value__fft_coefficient__attr_""real""__coeff_28",real,0.21020468641388068,False
"value__fft_coefficient__attr_""angle""__coeff_77","value__fft_coefficient__attr_""angle""__coeff_77",real,0.21020468641388068,False
"value__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)",real,0.21020468641388068,False
"value__fft_coefficient__attr_""imag""__coeff_29","value__fft_coefficient__attr_""imag""__coeff_29",real,0.21020468641388068,False
"value__fft_coefficient__attr_""real""__coeff_79","value__fft_coefficient__attr_""real""__coeff_79",real,0.21020468641388068,False
"value__fft_coefficient__attr_""real""__coeff_47","value__fft_coefficient__attr_""real""__coeff_47",real,0.2131330750711704,False
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.2__ql_0.0","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.2__ql_0.0",real,0.2131330750711704,False
"value__fft_coefficient__attr_""abs""__coeff_56","value__fft_coefficient__attr_""abs""__coeff_56",real,0.2131330750711704,False
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.6","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.6",real,0.2131330750711704,False
"value__fft_coefficient__attr_""abs""__coeff_90","value__fft_coefficient__attr_""abs""__coeff_90",real,0.2158978901196258,False
value__length,value__length,real,0.2160072200913975,False
"value__fft_coefficient__attr_""real""__coeff_37","value__fft_coefficient__attr_""real""__coeff_37",real,0.21609079956587618,False
"value__fft_coefficient__attr_""imag""__coeff_26","value__fft_coefficient__attr_""imag""__coeff_26",real,0.21609079956587618,False
"value__fft_coefficient__attr_""abs""__coeff_17","value__fft_coefficient__attr_""abs""__coeff_17",real,0.21609079956587618,False
"value__fft_coefficient__attr_""real""__coeff_44","value__fft_coefficient__attr_""real""__coeff_44",real,0.21609079956587618,False
"value__fft_coefficient__attr_""imag""__coeff_33","value__fft_coefficient__attr_""imag""__coeff_33",real,0.21609079956587618,False
"value__fft_coefficient__attr_""real""__coeff_69","value__fft_coefficient__attr_""real""__coeff_69",real,0.21609079956587618,False
