Feature,Mean P Value,P Values
"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""max""",6.989214345765224e-07,"[9.616271437704816e-07, 7.814118526216551e-07, 2.2136620333775005e-06, 5.248754044672241e-07, 9.616271437704816e-07, 7.976056178432314e-09, 2.7131917644028688e-08, 2.241730106035564e-07, 1.3365867050448532e-07, 1.1530711128273789e-06]"
"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""mean""",4.046341487317346e-05,"[2.7477349514013358e-05, 8.454184791065285e-05, 5.311938252740829e-05, 5.339876905066679e-05, 6.109402446976773e-05, 3.524916726278336e-07, 3.0835864871367753e-06, 1.469431315184621e-06, 6.58215494913809e-07, 0.00011943905028936258]"
"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""min""",0.0005900532183468303,"[0.0014476080728198192, 0.0004962223680912059, 0.0014336659674427344, 8.67907696754213e-06, 3.84955630287026e-05, 0.00015585806953176794, 0.0005498434105460394]"
"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""",1.718904658014809e-05,"[1.890362512322516e-05, 1.71229505433962e-05, 0.0001210872830404716, 2.7283834121940214e-07, 3.364335536199673e-06, 2.1583686061985315e-07, 1.4213681798336781e-06, 2.304960487458526e-06, 1.587330123769949e-07, 7.0385346766798e-06]"
"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean""",3.8111354228809643e-05,"[3.9670769209710635e-05, 3.734828188654022e-05, 0.00028352415776931704, 2.7283834121940214e-07, 3.6493252083791962e-06, 3.524916726278336e-07, 2.646122531667099e-06, 3.915035188627492e-06, 2.2322550065565822e-07, 9.511294979351776e-06]"
"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""",6.31320303282284e-05,"[7.039988052676698e-05, 6.040828239059062e-05, 0.00046839394465738525, 3.6180953174684756e-07, 5.03830614422741e-06, 4.866077147684134e-07, 3.8721649138456015e-06, 6.035037015233297e-06, 3.6957401446232937e-07, 1.5954696373257256e-05]"
"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""var""",0.0004188574537609711,"[0.00011759706478848226, 6.732624500322678e-06, 2.4236191684062455e-06, 0.0003542725440755343, 0.0016660369824079233, 0.0009953121883192625, 5.33795073889222e-05, 0.00015510509943891487]"
"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""",1.9995376023101254e-08,"[1.5524682722865232e-08, 1.9943367416792822e-08, 6.379665499591245e-08, 1.3943474675100325e-08, 1.0472637120414613e-08, 6.258623083575867e-10, 1.2284561062250702e-09, 4.544307203674353e-08, 6.194821614721638e-09, 2.2780731233879258e-08]"
"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""",2.5592498721692908e-08,"[1.7118503819424523e-08, 3.158286148623396e-08, 7.662722865631793e-08, 1.546509899245518e-08, 1.4075383596166078e-08, 6.897904561497957e-10, 1.8126900401968901e-09, 6.167815294935004e-08, 6.807803482707294e-09, 3.0067473737927383e-08]"
"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min""",3.97087314711936e-08,"[2.291282539728647e-08, 6.505283068681062e-08, 1.2059976612278071e-07, 1.9007110699364325e-08, 1.7118503819424523e-08, 6.897904561497957e-10, 2.6645236560823014e-09, 1.0196764080799956e-07, 7.47961737677032e-09, 3.9594705689267343e-08]"
