Feature,Mean P Value,P Values
"value_norm__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)",5.186392789527214e-05,"[1.3598798010176244e-05, 0.00010958181935799396, 2.8463277125750995e-05, 5.581181708716736e-05]"
"value_norm__cwt_coefficients__coeff_5__w_20__widths_(2, 5, 10, 20)",6.751469194838771e-05,"[1.943461162693192e-05, 0.00017004728268855965, 2.8463277125750995e-05, 5.211359635230827e-05]"
"value_norm__cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20)",8.634909206182219e-05,"[2.4009119199753214e-05, 0.00024562697402373605, 3.0357849195998457e-05, 4.540242582780102e-05]"
"value_norm__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)",0.00010495329829064163,"[2.9596737275420056e-05, 0.0003124421557854915, 3.237187427385388e-05, 4.540242582780102e-05]"
"value_norm__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)",0.00011408593564417477,"[3.1719467662038576e-05, 0.00035190387270301086, 3.0357849195998457e-05, 4.236255301565116e-05]"
"value_norm__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)",0.0001434623651721774,"[3.398634126275551e-05, 0.0004718833980262801, 2.8463277125750995e-05, 3.9516444273922934e-05]"
value_norm__energy_ratio_by_chunks__num_segments_10__segment_focus_1,1.9915031548805785e-05,"[2.631993580724913e-06, 5.026628811200635e-05, 4.308755192226917e-06, 2.245308931026497e-05]"
value_norm__energy_ratio_by_chunks__num_segments_10__segment_focus_2,4.14927911333279e-05,"[5.9375222131232895e-05, 3.920334220499716e-05, 2.589980906375365e-05]"
value_norm__energy_ratio_by_chunks__num_segments_10__segment_focus_3,2.7537549005844398e-05,"[1.2006385960562974e-06, 1.1869207284258867e-05, 7.512541692990568e-06, 8.956780845007185e-05]"
value_norm__energy_ratio_by_chunks__num_segments_10__segment_focus_4,3.7488443967485638e-06,"[3.2528058864176465e-07, 7.172408204855363e-06]"
"value_norm__fft_coefficient__attr_""abs""__coeff_10",6.8423296011320455e-06,[6.8423296011320455e-06]
"value_norm__fft_coefficient__attr_""abs""__coeff_11",0.00039077224279727074,[0.00039077224279727074]
"value_norm__fft_coefficient__attr_""abs""__coeff_13",0.0002546645888770191,"[9.556958810329209e-05, 0.00041375958965074607]"
"value_norm__fft_coefficient__attr_""abs""__coeff_14",0.000555569733084842,[0.000555569733084842]
"value_norm__fft_coefficient__attr_""abs""__coeff_15",0.00030187477229371047,[0.00030187477229371047]
"value_norm__fft_coefficient__attr_""abs""__coeff_16",0.0001513385603714108,[0.0001513385603714108]
"value_norm__fft_coefficient__attr_""abs""__coeff_17",0.00023772471120814002,"[0.00033210327698705237, 0.00014334614542922767]"
"value_norm__fft_coefficient__attr_""abs""__coeff_18",6.32943485800444e-05,"[7.10804295739546e-05, 5.550826758613418e-05]"
"value_norm__fft_coefficient__attr_""abs""__coeff_19",8.203676949869733e-05,"[2.072739356816699e-05, 0.00014334614542922767]"
"value_norm__fft_coefficient__attr_""abs""__coeff_5",0.0002413614046200567,[0.0002413614046200567]
"value_norm__fft_coefficient__attr_""abs""__coeff_6",2.7453715106746652e-05,"[1.2006385960562974e-06, 5.3706791617437004e-05]"
"value_norm__fft_coefficient__attr_""abs""__coeff_8",8.0868938256714e-05,"[0.00015570564821605268, 1.8246452260900914e-05, 0.00022692602844410204, 2.233824412358024e-06, 1.2327379501562993e-06]"
"value_norm__fft_coefficient__attr_""abs""__coeff_9",4.906039084185241e-05,"[5.436874190123399e-07, 9.757709426469248e-05]"
"value_norm__fft_coefficient__attr_""angle""__coeff_1",0.0001067252907276816,"[3.1719467662038576e-05, 0.0002609441886975367, 5.0460157996402855e-05, 8.377734855474828e-05]"
"value_norm__fft_coefficient__attr_""angle""__coeff_11",2.505901508206294e-05,[2.505901508206294e-05]
"value_norm__fft_coefficient__attr_""angle""__coeff_12",2.2209301327933055e-05,"[2.8228038888389946e-06, 4.1595798767027115e-05]"
"value_norm__fft_coefficient__attr_""angle""__coeff_13",5.0460157996402855e-05,[5.0460157996402855e-05]
"value_norm__fft_coefficient__attr_""angle""__coeff_2",2.6685119677858037e-05,[2.6685119677858037e-05]
"value_norm__fft_coefficient__attr_""angle""__coeff_3",0.00016406932491709177,"[3.398634126275551e-05, 0.0005297971067325908, 1.9252750412731884e-05, 7.324110126028881e-05]"
"value_norm__fft_coefficient__attr_""angle""__coeff_4",7.154501122968434e-06,"[1.4797301657037732e-05, 4.924636640216203e-07, 2.1735879413057327e-06, 2.191615340703707e-07, 1.8089990818406717e-05]"
