feature,total__count,total__mean,total__std,total__min,total__25%,total__50%,total__75%,total__max,control__count,control__mean,control__std,control__min,control__25%,control__50%,control__75%,control__max,epah__count,epah__mean,epah__std,epah__min,epah__25%,epah__50%,epah__75%,epah__max,pah__count,pah__mean,pah__std,pah__min,pah__25%,pah__50%,pah__75%,pah__max,anova_notes,f-oneway_stat,f-oneway_pvalue,tukey-HSD_control_epah_pvalue,tukey-HSD_control_pah_pvalue,tukey-HSD_epah_pah_pvalue,jarque-bera_stat,jarque-bera_pvalue,bartlett_stat,bartlett_pvalue
value_norm__mean,156.0,-1.0567045813868162e-17,2.012107311828067e-16,-5.968558980384842e-16,-1.4210854715202004e-16,0.0,1.4210854715202004e-16,6.536993168992923e-16,30.0,-2.3684757858670106e-18,2.1154228593051675e-16,-5.968558980384842e-16,-1.4210854715202004e-16,7.105427357601002e-18,1.4210854715202004e-16,4.547473508864641e-16,65.0,-7.214741624641023e-18,1.8330286522517026e-16,-3.410605131648481e-16,-1.7053025658242402e-16,0.0,1.4210854715202004e-16,4.263256414560601e-16,61.0,-1.8171256848946815e-17,2.1682820026642058e-16,-5.968558980384842e-16,-1.4210854715202004e-16,-2.842170943040401e-17,1.1368683772161603e-16,6.536993168992923e-16,Not enough variation! ,,,,,,,,,
value_norm__length,156.0,500.0,0.0,500.0,500.0,500.0,500.0,500.0,30.0,500.0,0.0,500.0,500.0,500.0,500.0,500.0,65.0,500.0,0.0,500.0,500.0,500.0,500.0,500.0,61.0,500.0,0.0,500.0,500.0,500.0,500.0,500.0,Not enough unique values! ,,,,,,,,,
value_norm__standard_deviation,156.0,0.9989994994993757,1.6165583172536475e-15,0.9989994994993734,0.998999499499374,0.998999499499374,0.9989994994993744,0.9989994994993748,30.0,0.9989994994993737,5.562588332313446e-16,0.9989994994993736,0.998999499499374,0.998999499499374,0.9989994994993743,0.9989994994993748,65.0,0.9989994994993749,8.551465370822906e-16,0.9989994994993736,0.998999499499374,0.9989994994993742,0.9989994994993744,0.9989994994993748,61.0,0.9989994994993748,7.8791947418930075e-16,0.9989994994993734,0.9989994994993738,0.9989994994993742,0.9989994994993744,0.9989994994993748,Not enough variation! ,,,,,,,,,
value_norm__variation_coefficient,156.0,-16287127904364.896,1.477385958705643e+16,-7.029834021388584e+16,-6151104768715012.0,-2703782315918686.5,7029834021388582.0,7.029834021388581e+16,30.0,1848496572611310.8,2.132273777825088e+16,-7.029834021388584e+16,-5648973767187255.0,261526563295706.5,7029834021388583.0,7.029834021388581e+16,65.0,-451102994607596.4,1.1711610197915922e+16,-3.514917010694294e+16,-5858195017823820.0,-2703782315918686.5,7029834021388580.0,3.514917010694292e+16,61.0,-470065483310270.2,1.398733345558718e+16,-3.514917010694292e+16,-7029834021388581.0,-2703782315918686.5,5858195017823820.0,3.514917010694292e+16,Non-normal residuals! Heteroscedastic samples! ,0.2932064034838472,0.7462863242722118,0.7431,0.7439,0.9,242.30268053376648,2.42460751498863e-53,16.25405260294548,0.0002954454615387288
value_norm__variance,156.0,0.9979999999999999,6.216737293334491e-16,0.9979999999999984,0.9979999999999996,0.998,0.9980000000000002,0.9980000000000016,30.0,0.998,6.467088141258292e-16,0.9979999999999988,0.9979999999999996,0.9979999999999998,0.9980000000000002,0.9980000000000012,65.0,0.9979999999999992,9.658780798119278e-16,0.9979999999999988,0.9979999999999996,0.998,0.9980000000000002,0.9980000000000016,61.0,0.9979999999999991,1.0314722775777154e-15,0.9979999999999984,0.9979999999999994,0.998,0.9980000000000004,0.9980000000000012,Not enough variation! ,,,,,,,,,
value_norm__skewness,156.0,0.5188300795284599,0.19274619997835385,-0.1141623653093401,0.4044034277907944,0.5289905742396699,0.6382503928053929,1.2028864131714074,30.0,0.554693079207624,0.18475258028676136,0.0949720005820987,0.4183474105569928,0.5752634099460863,0.6803074021584845,0.8012030026491526,65.0,0.5808252442340834,0.17505004014943656,0.3173710153104617,0.4531648982687726,0.5610947992094351,0.662431273430044,1.2028864131714074,61.0,0.4351321172950098,0.18671257565010987,-0.1141623653093401,0.3320723725058396,0.4529995042522236,0.5746601454808338,0.796280814706538,,10.857997265394657,3.8944453135248086e-05,0.7716,0.0101,0.001,4.50814693537907,0.1049707574919598,0.2773772998046398,0.8704990162237605
value_norm__kurtosis,156.0,-1.334011076271102,0.23345292736258041,-1.744468664422553,-1.4882811709941748,-1.3679572086927683,-1.2303694677889556,-0.0585902010386667,30.0,-1.2832623555860172,0.1751280573938764,-1.53123366780847,-1.4041180720549025,-1.3085392916181755,-1.1459850876999167,-0.9271124524710156,65.0,-1.2582358770025286,0.2759193524681618,-1.6024409806547142,-1.446167066505464,-1.3368444505814787,-1.1614339286644288,-0.0585902010386667,61.0,-1.439713528287657,0.1609172892628906,-1.744468664422553,-1.5640760497587032,-1.4384146248750118,-1.3234250975987156,-1.0039590035386476,Non-normal residuals! Heteroscedastic samples! ,11.83800538205119,1.658858093746057e-05,0.848,0.0046,0.001,247.93895909839256,1.447901797825173e-54,19.706841633324856,5.256706281060992e-05
value_norm__root_mean_square,156.0,0.9989994994993757,1.6217888383846303e-15,0.9989994994993734,0.998999499499374,0.998999499499374,0.9989994994993744,0.9989994994993748,30.0,0.9989994994993737,5.589267566104598e-16,0.9989994994993736,0.998999499499374,0.998999499499374,0.9989994994993743,0.9989994994993748,65.0,0.9989994994993749,8.648879640739617e-16,0.9989994994993736,0.998999499499374,0.998999499499374,0.9989994994993744,0.9989994994993748,61.0,0.9989994994993748,7.963480470798111e-16,0.9989994994993734,0.9989994994993738,0.998999499499374,0.9989994994993744,0.9989994994993748,Not enough variation! ,,,,,,,,,
value_norm__absolute_sum_of_changes,156.0,5.645957532904842,0.4294523603636273,4.774644664578189,5.389028510860243,5.591037353434489,5.785383878651375,7.678479418900818,30.0,5.845564703805615,0.42138327731668107,5.299041367687135,5.462250546280395,5.800940863955276,6.098724681988712,7.120181312674029,65.0,5.701242089377171,0.4610767491892452,5.054426820333374,5.456569444739846,5.599648307477923,5.787208027703166,7.678479418900818,61.0,5.488880298515911,0.33990921753686565,4.774644664578189,5.284305726296872,5.4837759985462,5.664489179741214,7.10116669011609,Non-normal residuals! ,8.63358306145168,0.0002801431511154995,0.2508,0.001,0.0116,336.59009046223326,8.135617549431835e-74,5.635185206650037,0.059749610720786626
value_norm__longest_strike_below_mean,156.0,173.27564102564102,16.853284821181134,140.0,163.0,171.0,183.25,234.0,30.0,174.36666666666667,14.70276383432095,140.0,165.25,171.5,186.75,200.0,65.0,174.63076923076923,17.352565760184817,140.0,164.0,171.0,182.0,234.0,61.0,171.29508196721312,17.36408579251542,141.0,158.0,167.0,185.0,219.0,Non-normal residuals! ,0.6914397351418039,0.502412555569882,0.9,0.6781,0.511,32.499766576743355,8.765271168818242e-08,1.196002804684429,0.5499095865596333
