feature,total__count,total__mean,total__std,total__min,total__25%,total__50%,total__75%,total__max,control__count,control__mean,control__std,control__min,control__25%,control__50%,control__75%,control__max,epah__count,epah__mean,epah__std,epah__min,epah__25%,epah__50%,epah__75%,epah__max,pah__count,pah__mean,pah__std,pah__min,pah__25%,pah__50%,pah__75%,pah__max,test_notes,t-test_control_epah,wilcoxon_control_epah,t-test_control_pah,wilcoxon_control_pah,t-test_epah_pah,wilcoxon_epah_pah
"value__fft_coefficient__attr_""imag""__coeff_7",156.0,0.3124753689460435,26.906504095351085,-127.01514606511545,-13.452567197310174,-0.14400818220807343,18.14720384667544,81.79809153155671,30.0,1.4059711041488723,25.49947585713002,-35.27061449940122,-16.847584138447385,-4.12128090263975,23.22568466725007,54.53107144725526,65.0,-1.3786217437565211,22.03257527678617,-92.87835192242116,-12.29887701955726,-0.3499696375299669,10.990620808990592,56.95519463989322,61.0,1.5766793077916474,32.13779421112752,-127.01514606511545,-10.49664532199388,0.06195327311382,22.22637120565104,81.79809153155671,,0.5873964563318489,0.4506183185970105,0.9797907762883358,0.33185785117885624,0.5461339986869955,0.22756396769148157
"value__fft_coefficient__attr_""imag""__coeff_8",156.0,0.4497636063866149,19.225536263812067,-78.83605605780852,-10.701578021843003,1.4802836094048053,9.016791186557686,82.74715713553043,30.0,-1.19566476066079,15.763247051921098,-29.42562512111584,-11.599984642150753,1.101838793871699,6.661218808325048,38.44593703178754,65.0,5.2735562062556065,19.970844145924552,-27.969225557176173,-3.198575642387558,4.187958721824371,11.4144895870013,82.74715713553043,61.0,-3.8811161965652268,19.0709659796932,-78.83605605780852,-14.838516149784788,0.156597102144604,8.641585381300747,27.32120349489731,,0.12161166888593006,0.060662032024862825,0.506612378199964,0.41806690222659854,0.009671266259887394,0.035442561224395104
"value__fft_coefficient__attr_""imag""__coeff_9",156.0,-2.1624598549300775,14.590047454481414,-80.2408120674919,-7.950187077931091,-0.49323070479148867,6.738679811989351,33.508271520896194,30.0,-2.671926667706609,9.997089095449034,-26.962226915165985,-8.298497770101381,-2.9756562589565645,2.609341331131411,20.141568083610416,65.0,0.7155283048780696,13.030841801899186,-53.92492160592676,-4.283494482414928,1.6130939669237967,8.89517951877707,33.508271520896194,61.0,-4.978611100901119,17.41605278353495,-80.2408120674919,-12.01149776729607,-0.7654778024802593,6.213013850649579,20.457907770118982,,0.2103002267078684,0.027080852808797847,0.5034187301384063,0.3693864361216038,0.03899994843821767,0.06087317757233385
"value__fft_coefficient__attr_""imag""__coeff_10",156.0,-0.6580871461070398,12.89987230865373,-79.10012444216858,-4.230326263929603,1.195838244971311,6.473136818190362,31.14517248773509,30.0,0.10651831105641711,9.938152431631478,-23.10564737110668,-3.7352390212954965,0.13231159010011095,3.818640113939252,31.14517248773509,65.0,0.7600441694517612,10.503843241650374,-46.70096731945482,-3.638246154258104,1.8799451975621475,7.900242153165044,16.322127678546387,61.0,-2.545246149815659,16.073855757855377,-79.10012444216858,-7.237970471507021,0.6792611260478805,6.711100991786672,18.107051562925086,,0.7750513765655284,0.17137152026302205,0.41000043957312227,0.35357319121785913,0.17175494257855412,0.2320084867348382
"value__fft_coefficient__attr_""imag""__coeff_11",156.0,0.8717064647140443,11.22145717274279,-71.01617954296401,-3.7254755270887667,1.166356210505067,6.880783034948892,30.51340214459045,30.0,0.8675250348959722,8.476418805857,-20.167066224613976,-4.036404191679588,0.06716246673939365,5.519271993621632,23.48702375571285,65.0,1.5622878854326154,10.328641214554972,-28.55210814740365,-3.635368472624705,1.603213511090269,7.641858872009335,30.51340214459045,61.0,0.13789745730150407,13.25563451083963,-71.01617954296401,-3.3381499114956608,1.1955204989212174,6.231915283063566,24.866334914572224,,0.7485059116070307,0.3140553853340722,0.7841816897127638,0.31368076456803456,0.5008645568110848,0.4746994971635921
"value__fft_coefficient__attr_""imag""__coeff_12",156.0,-0.03331076590586481,9.829163155500423,-60.55645609375168,-3.1778621574687387,0.24254402166648964,5.629702794900525,28.678443210687394,30.0,0.2225413109292918,7.806818708252173,-19.29680719233395,-3.0575124600818353,0.0029818007656637474,4.780622429084692,20.652681266903336,65.0,1.234849827079922,9.387271737398535,-31.1274432295021,-2.9433810553615887,1.0448632990197144,6.369281813377436,28.678443210687394,61.0,-1.5104583208096494,11.051507390496845,-60.55645609375168,-3.566449239175524,0.1854141772522738,4.442901215382053,15.578414057647224,,0.6085368989765886,0.17137152026302205,0.4440794225382687,0.47475633716538135,0.1346293033251234,0.11584716648159493
"value__fft_coefficient__attr_""imag""__coeff_13",156.0,-0.33960538143543356,9.173702839811353,-57.28347718768178,-3.293002066537482,0.43535536699464505,5.077833363687348,21.226688933944104,30.0,-0.29594105649904495,7.236226124391579,-16.78083815402274,-2.1977073225754684,-0.690467851770912,1.9681584327442425,21.226688933944104,65.0,1.0327202433565978,8.226686280049353,-30.276095689792083,-3.0487401642889425,1.5897665699957748,6.099270666887195,18.727936442019505,61.0,-1.823393829953035,10.752981402736559,-57.28347718768178,-5.381699698328632,0.0745186283948586,3.8086707034415057,12.981371459099606,,0.44977853296435844,0.10365276423921277,0.48406459230568144,0.3854238243678829,0.09534641377082004,0.0929295352022606
"value__fft_coefficient__attr_""imag""__coeff_14",156.0,0.18282817518640254,8.181392247782744,-51.77744454504092,-2.7714949691228887,0.6117910185506288,4.692109796492117,20.112304907031294,30.0,-0.15466936497483666,6.1863068372173124,-16.809323504224043,-2.160461868356875,-0.7223898198872468,2.009764539631399,17.044156201401755,65.0,1.0900443939701,7.820300691175902,-25.525001628047075,-2.7112579359994253,1.2634367537234945,5.667457467977388,20.112304907031294,61.0,-0.6178952349136487,9.358624670744497,-51.77744454504092,-2.9522060684932794,1.0666248873998905,4.3572930727111086,12.23001131282659,,0.4448667208503959,0.13031564655920785,0.8065270546629908,0.20521307472308503,0.2673554946910565,0.3075487337165486
"value__fft_coefficient__attr_""imag""__coeff_15",156.0,-0.02666250031288116,7.678507566077511,-49.2341393835366,-2.632434965480982,0.6541978197241856,3.9744869968210885,19.93256283016112,30.0,-0.3328399464387008,5.843561877249372,-14.944701589904916,-2.439937312684169,-0.7268885041583034,1.9029754530436231,16.940649056602545,65.0,0.991644959561301,7.261743863490714,-23.78068949876147,-2.403978837520764,0.871436243653214,5.149213416667786,19.93256283016112,61.0,-0.9611651479857872,8.803463028956967,-49.2341393835366,-2.6000493429940863,0.7465545036827013,3.30896128623319,11.697329256752877,,0.383353605304391,0.09799950443045374,0.7242194292027568,0.21991245361198775,0.17575736924370708,0.17937453759174515
"value__fft_coefficient__attr_""imag""__coeff_16",156.0,-0.047086323925843235,7.228478013882778,-46.30364817827912,-2.3172972628374904,0.4205351359619426,3.8025037476342898,17.198774823785385,30.0,-0.1459605152856895,5.728863672183031,-14.30112641599119,-2.1537298404585954,-0.5096664625229426,2.2330601531257446,16.206846610229015,65.0,0.827504563578475,6.771577550994274,-22.758153735032263,-2.5157896193595217,0.869748503522086,4.878399502293147,17.198774823785385,61.0,-0.9304007820731427,8.281336492967869,-46.30364817827912,-2.190770291182559,0.7278248492935586,3.451975383975118,10.632631267480988,,0.4967793169555731,0.1337393659859359,0.6421893592328469,0.28438331842078324,0.1933381416919844,0.19244140875386895
"value__fft_coefficient__attr_""imag""__coeff_17",156.0,-0.018120970273316803,6.7768580251368,-43.41355653492864,-2.177534997392041,0.30678068802855024,3.6434345434901276,16.790177527494656,30.0,-0.32318625300888787,5.285684492464012,-13.522747333271743,-2.2487709187110507,-0.37833861379084655,1.9001386635963544,15.06552861226194,65.0,0.8157763154247308,6.434139218326043,-22.223026701640784,-2.127706054326745,0.9005936816155196,4.658996174603379,16.790177527494656,61.0,-0.75666793893407,7.721764084107508,-43.41355653492864,-2.12655059194387,0.4935867966305604,3.253515663824984,10.1824545258448,,0.3997058381332719,0.10510234320694034,0.7825348315806694,0.22494335379640384,0.21557090604782053,0.19377936043550398
"value__fft_coefficient__attr_""imag""__coeff_18",156.0,-0.007305217299838844,6.37632944010333,-41.10211825648109,-2.325415488273345,0.23505321625361658,3.577284145401627,16.07683141633634,30.0,-0.18955588416442015,4.916831337395676,-12.495428198930563,-2.0372263615004953,-0.36624663230090565,1.8812537876379363,13.936340391690642,65.0,0.8233835690149846,6.025028235734342,-19.99870507839838,-2.1813206133204157,0.8841297849107628,4.462871136843828,16.07683141633634,61.0,-0.8028339239314134,7.295120362882103,-41.10211825648109,-2.6049192445913025,0.2670569526276167,3.013842046059171,9.58935730421612,,0.4230123363442456,0.10510234320694034,0.6785829320681789,0.26468553079225554,0.17387231010542428,0.1549613048750682
"value__fft_coefficient__attr_""imag""__coeff_19",156.0,0.017957263434150588,6.00769119706399,-38.70534876506979,-1.8832422483603666,0.3384310425932503,3.276000576564617,14.112335902973632,30.0,-0.12699245371801127,4.698360405498829,-11.871706043055957,-1.9289294133250507,-0.234135765712576,1.6062445995977281,13.51238491959468,65.0,0.7483480643742444,5.658073992133237,-18.82971348607276,-1.9487793364817927,0.98066927245026,4.161497197878965,14.112335902973632,61.0,-0.6890412701157067,6.879282685106227,-38.70534876506979,-1.80983802940663,0.3398706050089674,2.9106509511486536,9.040033419721745,,0.4626618737043048,0.125294587302404,0.6878452971342712,0.28725345472778474,0.20145839824116732,0.17809925344085042
"value__fft_coefficient__attr_""imag""__coeff_20",156.0,-0.005508006567362082,5.715432626793088,-36.403403987755226,-1.9177484331815813,0.3275314879430795,3.3158284515134993,14.09773446413395,30.0,-0.18339992043471093,4.491218621977212,-11.263332368822365,-1.781962739212637,-0.4878887143804149,1.4437633337349507,12.678055991355514,65.0,0.6846601472766818,5.404162399709667,-18.11716325516971,-1.8619219107354132,0.7298899139017531,3.98209427150697,14.09773446413395,61.0,-0.6534452620401876,6.521321154508282,-36.403403987755226,-1.9103238589940956,0.5096965057237859,3.005672738133308,8.514406054109081,,0.44585239767571017,0.11410853090554357,0.7233803845290351,0.2510532852556497,0.2110608636613454,0.19244140875386895
"value__fft_coefficient__attr_""imag""__coeff_21",156.0,0.004787170413514383,5.426274109309166,-34.31333967857198,-1.722120083236827,0.2793041735772436,3.1456144387832556,13.62889579168435,30.0,-0.2146402851679913,4.160029360110813,-10.576074404292598,-1.655589863893828,-0.37184196616210335,1.6392290707213053,11.761693588970598,65.0,0.6415908889013298,5.140162801538159,-17.41126324944757,-1.6652691635893002,0.8824574447378617,3.712685630539034,13.62889579168435,61.0,-0.565859026869483,6.222796552626579,-34.31333967857198,-1.711896837491361,0.3748840159718646,3.088628626663299,8.179844990935475,,0.4263913987044965,0.10510234320694034,0.7804769600489609,0.2076216177308574,0.23614647102813524,0.22171322346138783
"value__fft_coefficient__attr_""imag""__coeff_22",156.0,0.04949913240020544,5.188551116138098,-33.18624739186274,-1.597024723037471,0.3846287989465587,2.9045098811525687,12.859797498962692,30.0,-0.16064879923078804,3.9670508217062803,-10.19952758152444,-1.3805530573134719,-0.22619853812907947,1.6245236967459182,11.600447721970433,65.0,0.6354325703533263,4.916004711758877,-16.772981682644463,-1.6753976349324344,0.6247421939364384,3.46247180994088,12.859797498962692,61.0,-0.47150472855099196,5.957466201106092,-33.18624739186274,-1.4719352223042552,0.5925156257609812,2.9699271136445766,7.826818467507856,,0.4390423662082502,0.11881225989431182,0.7965286261988598,0.21742141524906672,0.2563015780920162,0.23800897223608214
"value__fft_coefficient__attr_""imag""__coeff_23",156.0,0.06571976242616347,4.97219331807058,-32.01226743600613,-1.5153068742962494,0.47453928721897387,2.829043274971418,12.24205186382243,30.0,-0.03993408268396051,3.853416209985859,-9.59317073296101,-1.346670704823441,-0.2538455845409504,1.2857143284359551,11.36662943150742,65.0,0.6273133384336232,4.674704726524076,-15.812144494595206,-1.4984374174103308,0.8010364740698841,3.251610342206903,12.24205186382243,61.0,-0.480738714412872,5.720969921269585,-32.01226743600613,-1.565915244954005,0.5267571234998589,2.8149300007798037,7.431719038347389,,0.4971622587172426,0.14077099790541792,0.704030771310435,0.2483721082906476,0.23488426172211568,0.21310033049443788
