feature,total__count,total__mean,total__std,total__min,total__25%,total__50%,total__75%,total__max,control__count,control__mean,control__std,control__min,control__25%,control__50%,control__75%,control__max,epah__count,epah__mean,epah__std,epah__min,epah__25%,epah__50%,epah__75%,epah__max,pah__count,pah__mean,pah__std,pah__min,pah__25%,pah__50%,pah__75%,pah__max,tukey-HSD_control_epah_pvalue,tukey-HSD_control_pah_pvalue,tukey-HSD_epah_pah_pvalue
value__skewness,156.0,0.5176232509514999,0.1932434251353537,-0.119220292963998,0.4035761254926715,0.5279551210858696,0.637877989272978,1.2017227233497436,30.0,0.5538236450501904,0.1844764874762672,0.1018400533606826,0.4180561685565086,0.5743418105683411,0.6793995955584985,0.8023171575558218,65.0,0.5799032757363717,0.1754514443115111,0.3152815961016517,0.4521509589737649,0.5602233851023025,0.6626791160877379,1.2017227233497436,61.0,0.4334558176076081,0.1874192064350317,-0.119220292963998,0.3301957872415695,0.4512326028219631,0.5736350815732625,0.7932369573913618,0.7732,0.0097,0.001
value__number_cwt_peaks__n_5,156.0,7.685897435897436,2.5165375270193397,2.0,6.0,7.5,9.0,15.0,30.0,9.5,1.9956850003669555,6.0,8.0,9.5,11.0,14.0,65.0,7.261538461538461,2.412706746820641,3.0,6.0,7.0,9.0,13.0,61.0,7.245901639344262,2.4876745346133875,2.0,6.0,7.0,9.0,15.0,0.001,0.001,0.9
value__ar_coefficient__coeff_2__k_10,156.0,-0.0459884444812026,0.2551358851407075,-0.9319323216241776,-0.2186219559945517,-0.0107007298687732,0.1187953277689217,0.4462287161383216,30.0,-0.0159791809404863,0.2303417681725688,-0.3848173762369171,-0.2316815764384107,0.0530006499604187,0.1423199100210243,0.4462287161383216,65.0,0.0435348401831121,0.2077297475478609,-0.4267528990286617,-0.1051508157284786,0.0253883908559622,0.182236153417266,0.4253338089384613,61.0,-0.1561407626681197,0.2738963347086775,-0.9319323216241776,-0.3040376868287353,-0.1715367459519434,0.0559757980371031,0.4091630271234976,0.5018,0.026,0.001
"value__fft_coefficient__attr_""angle""__coeff_2",156.0,2.502899678194844,33.156176346319384,-103.48678954979728,-19.854366547766837,5.52664406924611,22.64006124137175,93.13869225270577,30.0,-21.454444362758203,32.518937813480285,-103.48678954979728,-42.09133175815028,-19.984727024902675,0.6872658147332065,33.37717783172455,65.0,1.9664247285164085,33.17029313712669,-84.50147332986465,-21.04767913664628,5.472207073112126,22.66127353120202,93.13869225270577,61.0,14.85685366110779,26.697429335554204,-55.02905645737858,-0.3799356373157092,13.4605731472137,31.93418929914215,75.7297116007748,0.002,0.001,0.0511
"value__fft_coefficient__attr_""angle""__coeff_3",156.0,19.330036892808128,98.89564493418358,-172.76687817651816,-79.80273771879519,56.91660897002426,101.91001838796304,173.13000749686245,30.0,-22.267795222250843,95.965638357927,-134.5162055981453,-100.9626718608563,-59.95519102492754,58.40214651475283,140.30277430646544,65.0,-11.310745155439797,98.62172502875951,-172.76687817651816,-100.22748954751948,-17.900813741088637,70.96136050404573,169.3107010286883,61.0,72.43800077129804,75.43393701871506,-171.8732514895094,59.90432412895859,81.08876424991222,120.15906492570548,173.13000749686245,0.828,0.001,0.001
"value__fft_coefficient__attr_""angle""__coeff_96",156.0,43.725992261058025,98.6118838109167,-179.3908745025573,-14.838366410165394,7.556420451107406,159.81670097512446,179.63837955446166,30.0,45.19985328923785,99.46693158775405,-176.4175409037584,-19.660219191842334,0.856079596543674,157.81548675209586,179.63837955446166,65.0,65.97864904261752,90.31322318552806,-179.3908745025573,-9.076084961283248,7.556420451107406,164.91355408363972,177.3151263142411,61.0,19.28929518488162,102.44167534083574,-178.72697652000247,-14.683782682121628,7.556420451107406,108.5186105168634,178.91609206274032,0.5894,0.4578,0.0209
"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""max""",156.0,-0.305183784417079,0.2222758411662517,-0.927082391866833,-0.4479792830317858,-0.3106637403342064,-0.165857563495948,0.4266930916847994,30.0,-0.1251385415319826,0.1868501131297636,-0.4008322059078305,-0.2441545427556804,-0.179158359824377,-0.0771824810037975,0.3681087413753315,65.0,-0.2622560672941276,0.1998902843375393,-0.6401515222781728,-0.4189899341220376,-0.2548608378721447,-0.1241946312002544,0.4266930916847994,61.0,-0.4394732745735502,0.1777649897448341,-0.927082391866833,-0.5427847056292184,-0.4141114756113679,-0.3289907190715237,0.0467189677188639,0.0036,0.001,0.001
"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""mean""",156.0,-0.2574379842159252,0.1710635000210873,-0.7878076140505635,-0.3824167339898253,-0.2557476306025071,-0.1580741088534284,0.3221267618543376,30.0,-0.1406134841594985,0.1530482773881986,-0.4516384357845693,-0.2249872675495517,-0.1560611436039102,-0.0708968828408494,0.2621167113026169,65.0,-0.233753589521536,0.1698562236767961,-0.5484581732609697,-0.3592915971592567,-0.2352827234762736,-0.1280698325778742,0.3221267618543376,61.0,-0.3401301261311399,0.1382595035371581,-0.7878076140505635,-0.4219392243721824,-0.323837768499781,-0.2492250109697618,-0.0791976107875223,0.0196,0.001,0.001
value__energy_ratio_by_chunks__num_segments_10__segment_focus_5,156.0,0.1941648619448815,0.0766432381033873,0.0280230264273618,0.1376914438849699,0.2027437104415607,0.256963337284939,0.3723141020435586,30.0,0.219066164668273,0.0743236364053407,0.0378210149846523,0.197132822872008,0.2376846613484289,0.2736737340463991,0.3149840590429513,65.0,0.1982561852660395,0.0816781994851358,0.0305868764333006,0.1287007911749997,0.2079265886167667,0.2570601745178854,0.3715516894200392,61.0,0.1775587128042747,0.0691406580110277,0.0280230264273618,0.1308172913381468,0.1773792487195846,0.2171244356029891,0.3723141020435586,0.429,0.0393,0.2774
value__count_above__t_0,156.0,0.4064077691604427,0.0472793297357668,0.2721518987341772,0.3747079439252336,0.4041746743540465,0.4375777363184079,0.5526315789473685,30.0,0.3929339205670689,0.0337184878843596,0.3484848484848485,0.3649891774891775,0.3823677377474845,0.4257642712257317,0.4639175257731959,65.0,0.3934809742923278,0.0471412052035655,0.2721518987341772,0.3686440677966102,0.3949579831932773,0.4297872340425532,0.4827586206896552,61.0,0.4268087056232078,0.0464727420024989,0.336734693877551,0.3946188340807174,0.42152466367713,0.4587628865979381,0.5526315789473685,0.9,0.0024,0.001
