feature,total__count,total__mean,total__std,total__min,total__25%,total__50%,total__75%,total__max,control__count,control__mean,control__std,control__min,control__25%,control__50%,control__75%,control__max,epah__count,epah__mean,epah__std,epah__min,epah__25%,epah__50%,epah__75%,epah__max,pah__count,pah__mean,pah__std,pah__min,pah__25%,pah__50%,pah__75%,pah__max,test_notes,t-test_control_epah,wilcoxon_control_epah,t-test_control_pah,wilcoxon_control_pah,t-test_epah_pah,wilcoxon_epah_pah
"value_norm__fft_coefficient__attr_""angle""__coeff_5",156.0,-3.1012653415919,109.25713158797105,-179.7786601063518,-95.12868153977392,-1.8993897588774167,98.68866918166614,179.90963921527745,30.0,-41.14246061210712,99.70610562251622,-159.66133885850965,-139.18959869982467,-67.17709507153563,24.38278067746693,170.63531730484488,65.0,27.892985393424905,90.44330280962211,-173.3493447030003,-56.88193767599094,52.52916247867538,102.40104200101388,173.24029091170317,61.0,-17.419141401602307,123.83291678035307,-179.7786601063518,-130.3898246952615,-41.13449933595263,107.23492901318778,179.90963921527745,,0.0011776348645017632,0.000814896509484882,0.3637048326119049,0.23519829971582357,0.020051215929510754,0.022934474389491238
"value_norm__fft_coefficient__attr_""angle""__coeff_6",156.0,22.50551145079259,104.37444221280377,-177.60250338119732,-78.65564103626545,60.355593227702684,107.34755303724236,174.2299851076452,30.0,20.409970633119052,108.14539321956815,-177.60250338119732,-63.40463607318999,59.892397171792084,105.0236193574922,172.88534675760982,65.0,5.41212698106836,101.21095909113288,-167.30112451973744,-96.90898177463455,11.827273492940774,95.55498975288278,174.2299851076452,61.0,41.75036743542014,104.2510069362649,-175.35832945329207,-45.311944201332494,82.41244043637988,115.0667987743415,171.60351053186406,,0.5128026145992235,0.22225133021523386,0.36696532834308826,0.16475310637766555,0.04935270158537728,0.01726801278760143
"value_norm__fft_coefficient__attr_""angle""__coeff_7",156.0,-0.165107501037445,95.54715987716966,-175.08957904384053,-77.15643141485347,1.0747155785856783,86.89649144149328,178.54702069257598,30.0,-3.4105286618010284,92.66299923701374,-156.63500010589132,-88.99741536250217,-10.938829345236568,73.14120326261299,139.49765290836572,65.0,1.9597323744007646,103.56639480613404,-160.9419622577571,-88.58705535093262,-3.654328226512422,99.83198652818592,175.6863213568739,61.0,-0.8331723712108281,89.34280346621455,-175.08957904384053,-70.7380983185146,5.803759383683779,76.65999233187716,178.54702069257598,,0.8088553108321526,0.4097521364666965,0.898596216230169,0.4479435120249345,0.8718762936939064,0.3480714231862371
"value_norm__fft_coefficient__attr_""angle""__coeff_8",156.0,16.145159255976168,97.35770906391012,-174.61111826580876,-75.70532312897926,33.844480201912035,96.56640131334946,178.00311544258972,30.0,16.410539713805328,108.505320501193,-148.23491907843652,-81.51256909506519,9.7830629793497,122.64765327685245,178.00311544258972,65.0,24.68871070559195,97.0030120302636,-174.61111826580876,-71.48901983664987,71.13234160294306,96.50821729141278,167.47977607767393,61.0,6.9108599451581085,92.6985072031198,-171.4823626034066,-77.11904398300057,12.766331798599634,90.4353804577973,170.57820102428326,,0.7104944882863611,0.46014036848821105,0.6652474255204084,0.31368076456803456,0.29558727175261434,0.14696114176524072
"value_norm__fft_coefficient__attr_""angle""__coeff_9",156.0,2.612211503592035,94.2127270916917,-177.65673189980615,-83.60060971001411,-16.580379590195502,91.54839546846267,176.5399073397799,30.0,-27.759006324632466,96.20530550368169,-177.65673189980615,-98.28988185520653,-42.89744457166221,49.039822033045304,176.5399073397799,65.0,12.036411631635723,93.87152698179366,-168.96375249550576,-82.83571339683861,58.96220972119976,91.72208662397097,169.72499724274292,61.0,7.506695544967365,92.06081305655191,-168.9767387166565,-84.77386308201793,-3.3590783643833437,93.68263968941037,172.30927429926444,,0.059767568045483284,0.06162998589333889,0.09402230708656373,0.06699597471980673,0.7851324061484678,0.4398571764596417
"value_norm__fft_coefficient__attr_""angle""__coeff_10",156.0,14.032152622099547,102.45270188696847,-179.79149049670883,-84.64999589115253,60.49352339388172,98.70228136888471,176.0613972084502,30.0,-5.077583280701811,122.03678963987973,-179.79149049670883,-116.15586115989873,-41.17471175122839,109.28273995932237,172.9485490870606,65.0,25.05758031346282,90.2064928442532,-122.40336657656589,-82.93740655301855,69.48409074350933,95.0643917453716,153.25305041556825,61.0,11.681976837598343,104.4903921639309,-179.77493002441037,-82.11021682786998,76.76366005684646,97.9251291919023,176.0613972084502,,0.18062679420414846,0.16533169170638085,0.4982293963574228,0.42136653067300134,0.4424614157914807,0.26124985582930094
"value_norm__fft_coefficient__attr_""angle""__coeff_11",156.0,17.659586343144408,90.33576542583403,-174.73185865121113,-80.07802778756187,70.19624000313405,95.0701020996508,177.15423250578203,30.0,3.0933653264896153,89.10626902677012,-174.73185865121113,-73.60331097624851,0.4406248375388042,86.60908583036624,140.32662115769136,65.0,13.537915958893496,92.62873103985719,-170.74074710879106,-83.34216708834295,81.61821561446574,95.01978387250225,127.96403340956242,61.0,29.215245449307602,88.49549914542965,-126.7898440087274,-72.22198141476854,72.13664974552847,101.0498785817152,177.15423250578203,,0.6064491863224195,0.2916952769314025,0.18998127388121025,0.10651643916078662,0.33387068065793524,0.12973123572999673
"value_norm__fft_coefficient__attr_""angle""__coeff_12",156.0,14.184019508301976,93.32579858396727,-178.8129858717535,-82.21754631184825,48.57424220118809,95.46439527047856,177.32571552672667,30.0,2.5046409152776805,98.80851235674274,-178.8129858717535,-73.10403571967625,-7.715760976067614,98.0873516357178,156.6611380283723,65.0,25.90655642999123,93.58303938018105,-118.76064937631092,-83.22726792255519,90.30594334303808,95.49656263100202,177.32571552672667,61.0,7.436748326022091,90.42252334691591,-178.64399736382015,-80.26998845638151,5.271261168172801,90.07024614854919,172.04579626900562,,0.26849212394187844,0.3429873909048643,0.8130340584288127,0.4579771280812486,0.2626080378457924,0.1370891546000263
"value_norm__fft_coefficient__attr_""angle""__coeff_13",156.0,17.781749542022446,95.77557000361793,-168.44223681186023,-82.83195342835259,78.66624024861926,97.7489561651292,177.41444553237298,30.0,11.71651603061889,99.02704593616377,-126.94865956614916,-81.35848436094119,-31.611026149279446,94.81377875870515,177.41444553237298,65.0,26.176923974338486,89.34951705908361,-100.89389114395736,-81.38406040211255,89.99917258669373,97.2626481491642,127.56835943697756,61.0,11.81897359516281,101.54123583910076,-168.44223681186023,-84.4660314151132,60.60183075011988,100.17080869649486,175.34713459588687,,0.4804399059382526,0.3083965574975896,0.9963707788824463,0.431297696633261,0.40035915997573446,0.27410529226558045
"value_norm__fft_coefficient__attr_""angle""__coeff_14",156.0,19.748951908762855,93.65833557049176,-167.01452221081738,-83.90571269379448,83.82361333404009,97.69384059830011,170.31535750233317,30.0,0.0008504490530469866,93.21297254898697,-113.0461479035059,-85.85798409034408,-40.477113286557724,98.34064036322587,141.50379376853354,65.0,25.746510603068252,89.05758418478858,-95.92061739109516,-80.55153435762813,87.57233960142693,95.74430889622398,152.54348441852724,61.0,23.070291722884928,98.7724709577056,-167.01452221081738,-84.08099351494742,87.43292057223196,99.50220212016042,170.31535750233317,,0.2000160414627641,0.23190539360386747,0.2890519715495385,0.22748306636259635,0.8732147741397108,0.4922104992054704
