feature,total__count,total__mean,total__std,total__min,total__25%,total__50%,total__75%,total__max,control__count,control__mean,control__std,control__min,control__25%,control__50%,control__75%,control__max,epah__count,epah__mean,epah__std,epah__min,epah__25%,epah__50%,epah__75%,epah__max,pah__count,pah__mean,pah__std,pah__min,pah__25%,pah__50%,pah__75%,pah__max,tukey-HSD_control_epah_pvalue,tukey-HSD_control_pah_pvalue,tukey-HSD_epah_pah_pvalue
"value_norm__fft_coefficient__attr_""angle""__coeff_2",156.0,3.3259172035162714,33.10493064302658,-103.28590140819198,-18.795257357518786,6.321985046336707,23.40567554774601,93.63029999564044,30.0,-20.662681390404018,32.51768448745141,-103.28590140819198,-41.50022827954516,-19.106600312006385,1.4422253770055744,34.05771465993753,65.0,2.743284625688165,33.123416107284505,-83.60994001785673,-20.23473323409209,6.255205705202844,23.5785938252276,93.63029999564044,61.0,15.744426635916858,26.550026843307407,-53.53977740641851,0.7406640316350723,14.286175751536888,32.83530809217452,76.3099532868916,0.002,0.001,0.0479
"value_norm__fft_coefficient__attr_""angle""__coeff_3",156.0,20.790190804449097,99.13112779353716,-170.84321335466095,-79.05038936057848,58.25499527882663,103.24169929716498,176.46089073872878,30.0,-20.54215945841084,96.63897317458314,-134.52416998027022,-100.7223671172166,-58.06356459523987,60.48342229520115,141.8585264959584,65.0,-10.020482959531158,98.8004882024344,-170.84321335466095,-98.64005758591256,-16.3091854661244,72.71911345069242,170.84588975365972,61.0,73.94862199370345,75.52922309288343,-170.4484105721239,61.322118636187845,82.24452507465855,123.88520184150023,176.46089073872878,0.8414,0.001,0.001
value_norm__range_count__max_1000000000000.0__min_0,156.0,202.5705128205128,18.305335791648183,138.0,191.0,203.5,213.25,263.0,30.0,196.0,14.631095841297784,174.0,186.0,195.5,209.75,223.0,65.0,196.2153846153846,16.829561331638587,138.0,189.0,198.0,207.0,223.0,61.0,212.5737704918033,17.116716017189596,178.0,200.0,212.0,221.0,263.0,0.9,0.001,0.001
"value_norm__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min""",156.0,-0.0985697378051454,0.2192165654961561,-0.6841366665297359,-0.2184047724410018,-0.0940628109731622,0.0435292974317266,0.5412304378731779,30.0,-0.2390431031157186,0.2180195912016632,-0.6489153527806608,-0.377630957530683,-0.1926449556951583,-0.0924620460223872,0.2780859151053592,65.0,-0.1355968116150641,0.2178395478457545,-0.6841366665297359,-0.2967436731225629,-0.1082400869102739,0.028693108578458,0.3612292358428267,61.0,0.0099706024729186,0.1649960197012236,-0.3163035127919935,-0.1007335414350383,0.0024408922359871,0.0873142331281571,0.5412304378731779,0.0512,0.001,0.001
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""min""",156.0,-0.0391087183513275,0.0474959089743664,-0.177267270796667,-0.0695715540322428,-0.0411490156969647,-0.0145261206618482,0.0910818790203205,30.0,-0.0100032431936517,0.0483936239485236,-0.1190863622496206,-0.0443393603066382,-0.0180600644642145,0.0175883526829155,0.0826196589112682,65.0,-0.031282824595391,0.0473309832134116,-0.1380734518950986,-0.0650513782947754,-0.0341202522199849,0.0005768649080511,0.0910818790203205,61.0,-0.0617619535786413,0.0359791352251261,-0.177267270796667,-0.0793896641492024,-0.0591611092810491,-0.036182931122375,0.0087921915661515,0.0714,0.001,0.001
"value_norm__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC""",156.0,0.532635247404145,0.2403562150651044,1.5929845222306207e-05,0.3837842882629809,0.5373077008796551,0.7058480725007243,0.9893375465024242,30.0,0.3963418691261809,0.1826987004138684,0.0371180386272494,0.2418857719362425,0.4014932128311372,0.4825740007828533,0.7743114601007476,65.0,0.6209837666680333,0.2392268192945354,0.0149193296223841,0.5121520172523685,0.6457350739696579,0.811628935766178,0.977359891572029,61.0,0.5055229129153939,0.2314583827695334,1.5929845222306207e-05,0.3647774585290109,0.5097304222866053,0.6526523240737443,0.9893375465024242,0.001,0.0812,0.0133
value_norm__count_above__t_0,156.0,0.4051410256410256,0.0366106715832963,0.276,0.382,0.407,0.4265,0.526,30.0,0.392,0.0292621916825955,0.348,0.372,0.391,0.4195,0.446,65.0,0.3924307692307691,0.0336591226632771,0.276,0.378,0.396,0.414,0.446,61.0,0.4251475409836064,0.0342334320343791,0.356,0.4,0.424,0.442,0.526,0.9,0.001,0.001
value_norm__count_below__t_0,156.0,0.5948589743589741,0.0366106715832963,0.474,0.5734999999999999,0.593,0.618,0.724,30.0,0.6079999999999999,0.0292621916825955,0.554,0.5805,0.609,0.628,0.652,65.0,0.6075692307692311,0.0336591226632771,0.554,0.586,0.604,0.622,0.724,61.0,0.5748524590163936,0.0342334320343791,0.474,0.558,0.576,0.6,0.644,0.9,0.001,0.001
value_norm__lempel_ziv_complexity__bins_3,156.0,0.0890128205128203,0.0012127663896907,0.086,0.088,0.09,0.09,0.092,30.0,0.0888666666666666,0.0013578211078487,0.086,0.088,0.088,0.09,0.092,65.0,0.0887076923076923,0.0011953435296374,0.086,0.088,0.088,0.09,0.09,61.0,0.0894098360655737,0.001054783535144,0.088,0.088,0.09,0.09,0.092,0.7943,0.0993,0.0029
value_norm__fourier_entropy__bins_5,156.0,0.0872105848590591,0.0231975213691912,0.0453947781468581,0.0907289936621287,0.0907289936621287,0.0907289936621287,0.1360021696648796,30.0,0.0979884815759011,0.0224674680543689,0.0453947781468581,0.0907289936621287,0.0907289936621287,0.1166240247274483,0.1360021696648796,65.0,0.0864075823812856,0.024242616402025,0.0453947781468581,0.0907289936621287,0.0907289936621287,0.0907289936621287,0.1360021696648796,61.0,0.082765638294305,0.0209862844954469,0.0453947781468581,0.0907289936621287,0.0907289936621287,0.0907289936621287,0.1252557017492216,0.0569,0.0085,0.6294
value_norm__fourier_entropy__bins_100,156.0,0.1616012165312592,0.0257937892840218,0.1252557017492216,0.1360021696648796,0.1812138217044036,0.1812138217044036,0.2263634575785358,30.0,0.1812076200878644,0.0205508185467716,0.1360021696648796,0.1812138217044036,0.1812138217044036,0.1812138217044036,0.2263634575785358,65.0,0.1629961651982932,0.0247631292684215,0.1252557017492216,0.1360021696648796,0.1812138217044036,0.1812138217044036,0.2263634575785358,61.0,0.1504723022680562,0.0232441208160073,0.1252557017492216,0.1360021696648796,0.1360021696648796,0.1812138217044036,0.2263634575785358,0.0016,0.001,0.0088
