feature,total__count,total__mean,total__std,total__min,total__25%,total__50%,total__75%,total__max,control__count,control__mean,control__std,control__min,control__25%,control__50%,control__75%,control__max,epah__count,epah__mean,epah__std,epah__min,epah__25%,epah__50%,epah__75%,epah__max,pah__count,pah__mean,pah__std,pah__min,pah__25%,pah__50%,pah__75%,pah__max,t-test_control_epah,wilcoxon_control_epah,t-test_control_pah,wilcoxon_control_pah,t-test_epah_pah,wilcoxon_epah_pah
value__abs_energy,156.0,35007.21947614293,26581.613262644,6337.415362134713,18117.5767731083,27261.70402904058,39999.8166819258,142539.51999034616,30.0,14768.166600424616,5307.004757761401,7653.478439379761,10124.51827994755,13973.979249116885,18070.58224499933,24717.75842261981,65.0,23430.312288742683,8981.655433357937,6337.415362134713,18133.23751870411,25019.94604556905,29439.64673534601,42672.54718626398,61.0,57296.90068028336,29505.30188593096,22016.328910994074,31399.11135510727,53153.65254830936,71656.68229986134,142539.51999034616,4.134710606342256e-06,3.09757810864594e-06,1.0563917798798583e-11,9.807430186724836e-15,8.308287256316806e-15,8.338101495501822e-15
value__mean_abs_change,156.0,0.314820987938815,0.1263222939567652,0.1372389045948157,0.2116141448250847,0.2863690316031867,0.3941701687364431,0.6994035001388,30.0,0.2014452891173807,0.0332096210294659,0.1372389045948157,0.1815111791558917,0.2011953369705664,0.2213042814779073,0.2667374522723214,65.0,0.2643916225223188,0.0746336901457293,0.1475427852956032,0.2078837710043615,0.2479830437340121,0.2912317905287158,0.4687677117363323,61.0,0.4243157373931643,0.1156611401093408,0.2649311127323629,0.3307331550330659,0.4159264452536326,0.4751357928264722,0.6994035001388,2.7474625225601115e-05,2.9825362927823274e-06,6.988682000351194e-17,6.604807872764647e-15,7.005079995390732e-16,5.690990236315891e-15
value__median,156.0,-5.451394642143848,3.232394030019752,-16.137585553978766,-7.25265411044472,-5.1635925677094985,-3.634848377953937,4.623578146869313,30.0,-3.919687887436359,1.2459312174495103,-6.278357231321182,-4.866489637618024,-4.139224421222441,-3.276645464109557,-1.262095547488494,65.0,-5.01500315042582,2.235511585574784,-9.54470693493938,-6.303229572951006,-5.058059819701101,-3.499398046542206,-0.5036301711641292,61.0,-6.669700373338877,4.245264339613655,-16.137585553978766,-9.764603024801344,-6.522936574408817,-4.725416929814932,4.623578146869313,0.0139711296347131,0.007223400463779,0.0008137786237033,1.2377070538600733e-05,0.0066317323350696,0.0012977411636466
value__length,156.0,217.55769230769232,33.20673083434613,152.0,194.0,214.5,235.0,320.0,30.0,228.56666666666663,29.442736160956205,181.0,203.0,231.0,251.5,277.0,65.0,220.27692307692308,36.727675060975685,167.0,199.0,215.0,234.0,320.0,61.0,209.24590163934425,29.187700456245214,152.0,187.0,201.0,228.0,290.0,0.2808048610489363,0.1080036100456987,0.0039422567640107,0.0014175293662698,0.0654485538997256,0.0728355753209174
value__standard_deviation,156.0,11.848950064219538,4.376998125915886,5.745108485128959,8.780911337932581,11.0910236568553,13.546366482629058,26.13727901170031,30.0,7.777277897240739,1.2045284148172202,5.745108485128959,6.657143323767107,7.882921136000186,8.889542964597059,9.477810340095823,65.0,9.953317681803188,2.104201123361805,5.815672286092062,8.672285792509532,10.257340023758022,11.328464694841385,13.92154072667995,61.0,15.871347930882273,3.928894378623925,10.212577908923093,12.285958902811194,16.976071624586634,17.907600941558847,26.13727901170031,8.792433086659003e-07,1.0910164060972585e-06,2.767273225224835e-18,5.786083332013597e-15,3.721807297526449e-19,6.195671719649544e-17
value__variance,156.0,159.4329218045735,124.94465277828942,33.00627150590076,77.10455913825538,123.01759965211036,183.50620427128592,683.1573541354696,30.0,61.88857723627466,18.7521751294382,33.00627150590076,44.31768404525214,62.14118663312617,79.02423541706392,89.82888884282731,65.0,103.42807735987526,40.977227279503154,33.82204413921927,75.2085408669627,105.21302436298824,128.3341123422677,193.80929620460853,61.0,267.08284354153005,135.76005067029453,104.29674754582392,150.94478616156564,288.1870078030955,320.68217148211926,683.1573541354696,8.055467067870403e-07,1.0910164060972585e-06,1.554885066961938e-12,5.786083332013597e-15,6.925323258952718e-16,6.195671719649544e-17
value__skewness,156.0,0.5176232509514999,0.1932434251353537,-0.119220292963998,0.4035761254926715,0.5279551210858696,0.637877989272978,1.2017227233497436,30.0,0.5538236450501904,0.1844764874762672,0.1018400533606826,0.4180561685565086,0.5743418105683411,0.6793995955584985,0.8023171575558218,65.0,0.5799032757363717,0.1754514443115111,0.3152815961016517,0.4521509589737649,0.5602233851023025,0.6626791160877379,1.2017227233497436,61.0,0.4334558176076081,0.1874192064350317,-0.119220292963998,0.3301957872415695,0.4512326028219631,0.5736350815732625,0.7932369573913618,0.5092077679167712,0.460140368488211,0.0047719161553885,0.0029213873870136,1.365890167287584e-05,5.308624993311732e-05
value__kurtosis,156.0,-1.3393336667123912,0.2355220188355892,-1.7551480803121624,-1.495489330120491,-1.372920718997228,-1.2328805726928944,-0.0604797629638023,30.0,-1.2879577180954551,0.1766413873332163,-1.5380295335460834,-1.4085671510023603,-1.3137664992482478,-1.1460592177203364,-0.9274034529290942,65.0,-1.262860704631703,0.2781717205255285,-1.6107756336881542,-1.4528284068908623,-1.3420797907085724,-1.1651190708572017,-0.0604797629638023,61.0,-1.4460881092329287,0.1625984567788423,-1.7551480803121624,-1.571251524593683,-1.4446968820694994,-1.3286220014555905,-1.0093529626016022,0.6515457838870128,0.4379672661417326,5.481644390935255e-05,0.0002052909532573,1.700511204778897e-05,3.3963665164988715e-05
value__root_mean_square,156.0,12.026626041383732,4.395292442672601,5.821505108015067,8.917692174467605,11.264122580920075,13.819823720186918,26.62990500824197,30.0,7.897834212250459,1.1134734260410517,6.118422808862053,6.7597241390117,7.915826285242852,8.987068330445423,9.480651765592684,65.0,10.1323418854189,2.1049606767693643,5.821505108015067,8.759339140868153,10.478508266065516,11.38463323208398,14.24858254392374,61.0,16.075678910428195,3.937257730934423,10.850547414908467,12.560760775682994,17.05459594264884,18.001981711366696,26.62990500824197,3.9127424013356265e-07,5.992474074805248e-07,1.5288746476976761e-18,5.786083332013597e-15,3.195493124071581e-19,3.4822690068276756e-17
value__absolute_sum_of_changes,156.0,66.33927269263192,23.322393128927686,33.681489142071726,49.46874192611652,60.46659926298032,76.43428192400974,139.88070002776,30.0,45.46787383758688,7.505800762715048,34.995920671678,37.98198868158737,46.63698314535474,52.254153401499295,56.58312841030407,65.0,56.48588860366401,11.52223414216016,33.681489142071726,47.72228611280707,58.58610099861368,64.9759016549963,77.81544014823118,61.0,87.1034027161444,21.794452116191245,55.46,70.77811411488833,87.86226819943384,96.94809692561404,139.88070002776,6.467797056697698e-06,8.717448800033237e-06,1.5924321983959235e-16,7.055896823278269e-15,1.7352734695761304e-17,3.587462465264078e-15
value__longest_strike_below_mean,156.0,75.67307692307692,16.38495118424751,49.0,63.0,76.0,82.0,141.0,30.0,79.7,9.656693229979457,50.0,74.5,81.0,83.75,96.0,65.0,77.56923076923077,19.24266843401763,55.0,65.0,74.0,81.0,141.0,61.0,71.67213114754098,15.00746626569079,49.0,58.0,72.0,81.0,114.0,0.5680645697502336,0.0100734985943298,0.0090937903142523,0.0019046341591145,0.0584917946443107,0.1011905755432698
value__count_below_mean,156.0,130.2051282051282,26.827457756203383,72.0,111.0,127.0,143.25,228.0,30.0,139.56666666666666,23.57187589763134,100.0,119.0,137.0,156.75,180.0,65.0,134.46153846153845,29.00542886850932,98.0,117.0,131.0,140.0,228.0,61.0,121.0655737704918,23.343713538094875,72.0,103.0,118.0,138.0,184.0,0.4012197904895563,0.1014535074926308,0.0006328977736616,0.0005102260170597,0.0052043672459285,0.0083653892702512
value__last_location_of_minimum,156.0,0.6531691639194946,0.3388828036195432,0.003125,0.7112465356512976,0.7942435201928872,0.8569642857142857,1.0,30.0,0.7118322447059832,0.3208452507350597,0.0040485829959514,0.7802920905808992,0.8215100364963503,0.8782428776062391,1.0,65.0,0.6165977968876661,0.3701299364229352,0.003125,0.0663507109004739,0.7952380952380953,0.8719211822660098,1.0,61.0,0.6632879579108754,0.3122754073079372,0.0043103448275861,0.7226890756302521,0.7906976744186046,0.8295454545454546,1.0,0.227931245536325,0.0758964556187237,0.4914379804539099,0.0146929872366352,0.4470237336714371,0.2565045075747585
value__first_location_of_minimum,156.0,0.6484715758226232,0.3389052475741567,0.0,0.7069648264616818,0.7897528631705847,0.852530747398297,0.9963898916967509,30.0,0.7073869299093665,0.3209230174522471,0.0,0.7766754184443716,0.8177320939781022,0.8735775107432755,0.9956709956709956,65.0,0.6119442272211342,0.3702092833430225,0.0,0.0616113744075829,0.7904761904761904,0.8669950738916257,0.9963503649635036,61.0,0.658419396093024,0.3121867855178018,0.0,0.7184873949579832,0.7857142857142857,0.8238636363636364,0.9963898916967509,0.2270259208462582,0.0678292606755554,0.4876324216318409,0.0138162031342562,0.4491207264182718,0.2478684254599362
